monotonic_time_ns,ros_time_sec,ros_time_nsec,cpu_core_0_percent,cpu_core_1_percent,cpu_core_2_percent,cpu_core_3_percent,cpu_core_4_percent,cpu_core_5_percent
4039464906811,1779707255,922657158,0.000,100.000,50.000,0.000,0.000,0.000
4039484907851,1779707255,942658486,50.000,100.000,50.000,0.000,0.000,50.000
4039505098977,1779707255,962849612,100.000,100.000,100.000,100.000,100.000,100.000
4039524978509,1779707255,982728632,100.000,100.000,100.000,100.000,100.000,100.000
4039544912379,1779707256,2661606,0.000,100.000,50.000,50.000,0.000,0.000
4039564908299,1779707256,22658646,0.000,100.000,0.000,0.000,0.000,0.000
4039584910523,1779707256,42660614,0.000,100.000,50.000,0.000,0.000,0.000
4039604910571,1779707256,62661078,0.000,100.000,0.000,0.000,0.000,0.000
4039624909563,1779707256,82660454,0.000,100.000,0.000,0.000,100.000,100.000
4039644909547,1779707256,102659958,100.000,100.000,0.000,0.000,0.000,0.000
4039664908827,1779707256,122659046,0.000,50.000,0.000,0.000,0.000,100.000
4039685098161,1779707256,142849340,100.000,100.000,100.000,50.000,100.000,100.000
4039704932796,1779707256,162683559,100.000,100.000,100.000,100.000,100.000,100.000
4039724912779,1779707256,182663446,100.000,100.000,100.000,100.000,100.000,100.000
4039744910619,1779707256,202661062,100.000,100.000,100.000,100.000,100.000,100.000
4039764946284,1779707256,222697783,100.000,100.000,100.000,100.000,100.000,100.000
4039784900795,1779707256,242652198,100.000,100.000,100.000,50.000,100.000,100.000
4039804912971,1779707256,262664022,100.000,100.000,100.000,100.000,100.000,0.000
4039824911995,1779707256,282663046,100.000,100.000,100.000,100.000,0.000,0.000
4039844953964,1779707256,302704856,100.000,100.000,100.000,100.000,100.000,100.000
4039864910811,1779707256,322660838,100.000,100.000,100.000,66.667,50.000,0.000
4039884908779,1779707256,342658934,50.000,50.000,50.000,50.000,0.000,0.000
4039904909115,1779707256,362659398,0.000,0.000,0.000,0.000,0.000,100.000
4039924916907,1779707256,382667798,100.000,50.000,50.000,50.000,50.000,100.000
4039944909467,1779707256,402658950,0.000,0.000,50.000,50.000,0.000,0.000
4039964907659,1779707256,422656950,0.000,0.000,0.000,0.000,0.000,0.000
4039984906683,1779707256,442655462,0.000,0.000,50.000,50.000,50.000,100.000
4040004982925,1779707256,462731513,0.000,0.000,0.000,0.000,0.000,0.000
4040024907163,1779707256,482655270,50.000,0.000,66.667,50.000,0.000,50.000
4040044907179,1779707256,502655158,0.000,0.000,50.000,0.000,0.000,0.000
4040064907963,1779707256,522655974,0.000,0.000,0.000,0.000,0.000,0.000
4040084907051,1779707256,542654966,0.000,0.000,100.000,0.000,0.000,66.667
4040104905019,1779707256,562652870,0.000,0.000,0.000,0.000,50.000,0.000
4040124906571,1779707256,582655926,100.000,50.000,100.000,0.000,0.000,50.000
4040144908571,1779707256,602657286,0.000,0.000,0.000,0.000,0.000,0.000
4040406140690,1779707256,863989568,0.000,0.000,0.000,0.000,0.000,0.000
4040424893211,1779707256,882642214,50.000,0.000,0.000,0.000,50.000,0.000
4040444903755,1779707256,902650870,0.000,100.000,50.000,0.000,0.000,0.000
4040464904251,1779707256,922651846,50.000,0.000,0.000,0.000,0.000,50.000
4040484905323,1779707256,942652566,0.000,50.000,50.000,0.000,0.000,0.000
4040504907227,1779707256,962654406,0.000,0.000,0.000,50.000,50.000,50.000
4040524907243,1779707256,982654518,50.000,50.000,0.000,0.000,0.000,0.000
4040544991678,1779707257,2740617,0.000,0.000,0.000,0.000,100.000,0.000
4040564893419,1779707257,22644022,0.000,50.000,0.000,50.000,0.000,100.000
4040584914204,1779707257,42665671,100.000,100.000,0.000,100.000,100.000,100.000
4040604919916,1779707257,62669815,100.000,100.000,100.000,100.000,100.000,100.000
4040624909692,1779707257,82659943,100.000,100.000,100.000,100.000,100.000,100.000
4040644900300,1779707257,102650103,100.000,100.000,50.000,0.000,50.000,0.000
4040664899068,1779707257,122649383,0.000,50.000,0.000,0.000,0.000,0.000
4040684902988,1779707257,142652471,0.000,0.000,100.000,0.000,50.000,100.000
4040704905468,1779707257,162655560,0.000,100.000,0.000,0.000,100.000,50.000
4040724892620,1779707257,182642039,50.000,0.000,0.000,0.000,0.000,0.000
4040744903581,1779707257,202652872,0.000,0.000,0.000,50.000,0.000,50.000
4040764875532,1779707257,222624119,50.000,50.000,0.000,0.000,0.000,0.000
4040784898877,1779707257,242647816,50.000,0.000,0.000,0.000,0.000,0.000
4040804884588,1779707257,262634328,0.000,50.000,50.000,50.000,0.000,0.000
4040824903293,1779707257,282652744,0.000,0.000,0.000,0.000,0.000,50.000
4040844905997,1779707257,302655097,50.000,0.000,50.000,100.000,0.000,50.000
4040864902973,1779707257,322652297,0.000,0.000,50.000,50.000,0.000,50.000
4040884906958,1779707257,342655545,0.000,0.000,0.000,0.000,0.000,0.000
4040904905662,1779707257,362654729,100.000,0.000,0.000,0.000,100.000,100.000
4040924904398,1779707257,382653657,50.000,50.000,0.000,0.000,0.000,50.000
4040944905470,1779707257,402654377,0.000,0.000,0.000,0.000,0.000,0.000
4040964906766,1779707257,422657081,0.000,0.000,50.000,0.000,0.000,50.000
4040984929855,1779707257,442680810,0.000,0.000,0.000,0.000,50.000,0.000
4041004911279,1779707257,462661850,0.000,0.000,0.000,66.667,0.000,100.000
4041024906303,1779707257,482656458,0.000,50.000,0.000,0.000,0.000,0.000
4041044905743,1779707257,502655418,0.000,0.000,0.000,0.000,0.000,0.000
4041064907903,1779707257,522658570,0.000,0.000,0.000,50.000,50.000,100.000
4041084908431,1779707257,542658682,100.000,100.000,100.000,100.000,100.000,0.000
4041104907711,1779707257,562657675,0.000,0.000,100.000,0.000,0.000,50.000
4041124969873,1779707257,582719517,0.000,50.000,50.000,50.000,0.000,100.000
4041144907392,1779707257,602656267,50.000,0.000,0.000,0.000,0.000,0.000
4041374300982,1779707257,832052962,50.000,0.000,0.000,0.000,0.000,0.000
4041384906721,1779707257,842655500,50.000,0.000,50.000,100.000,50.000,66.667
4041404908946,1779707257,862657693,50.000,50.000,0.000,50.000,50.000,0.000
4041424905442,1779707257,882654701,50.000,0.000,50.000,0.000,0.000,100.000
4041444910002,1779707257,902659773,0.000,0.000,0.000,0.000,0.000,0.000
4041464911202,1779707257,922661197,0.000,100.000,50.000,0.000,100.000,100.000
4041484909106,1779707257,942659485,50.000,100.000,0.000,0.000,0.000,50.000
4041504908034,1779707257,962656877,0.000,0.000,0.000,50.000,0.000,0.000
4041524905234,1779707257,982654749,0.000,50.000,0.000,0.000,0.000,0.000
4041544904770,1779707258,2653614,0.000,50.000,50.000,0.000,0.000,50.000
4041564908147,1779707258,22658558,100.000,100.000,0.000,50.000,100.000,50.000
4041584910467,1779707258,42659982,100.000,0.000,50.000,0.000,0.000,50.000
4041604907059,1779707258,62657118,0.000,0.000,0.000,0.000,0.000,0.000
4041624944229,1779707258,82693232,50.000,0.000,0.000,0.000,0.000,100.000
