monotonic_time_ns,ros_time_sec,ros_time_nsec,node_name,pid,cache_references,cache_misses,cache_reference_delta,cache_miss_delta,cache_miss_rate_percent,cache_hit_rate_percent,counters_valid
4763571872219,1781364883,905794473,gpu_amcl_cpp,30479,331804769,1278487,286745525,417717,0.145675,99.854325,true
4763571872219,1781364883,905794473,hokuyo_scip_driver,30588,1900390,34662,1474947,26193,1.775860,98.224140,true
4763571872219,1781364883,905794473,lifecycle_manager_map,30576,2470124,65985,92805,2135,2.300523,97.699477,true
4763571872219,1781364883,905794473,map_server,30574,183728421,370805,201548,12304,6.104749,93.895251,true
4763571872219,1781364883,905794473,odom_fused,30477,6902424,188254,3222488,107269,3.328763,96.671237,true
4763571872219,1781364883,905794473,performance_monitor,30485,5156128,153223,514687,8893,1.727846,98.272154,true
4763571872219,1781364883,905794473,pipeline_latency_monitor,30483,10395936,318131,1892146,56557,2.989040,97.010960,true
4763571872219,1781364883,905794473,scan_splitter_node,30590,20508467,116182,20508467,116182,0.566507,99.433493,true
4763571872219,1781364883,905794473,static_baselink_to_imu,30631,1361740,22548,1036794,16837,1.623948,98.376052,true
4763571872219,1781364883,905794473,static_baselink_to_laser,30612,498274,9606,85954,2116,2.461782,97.538218,true
4763571872219,1781364883,905794473,system_monitor,30584,54904014,1161609,31671144,674910,2.130993,97.869007,true
4763571872219,1781364883,905794473,vesc_driver_node,30578,9348010,332148,3645959,108476,2.975239,97.024761,true
4763571872219,1781364883,905794473,vesc_to_odom_node,30580,7269825,429003,4494378,269518,5.996781,94.003219,true
4763771870246,1781364884,112117695,ackermann_mux,30586,1612759,27852,0,0,0.000000,-1.000000,true
4763771870246,1781364884,112117695,ackermann_to_vesc_node,30582,8268675,427948,3444121,185762,5.393597,94.606403,true
4763771870246,1781364884,112117695,ekf_localization,30481,10689889,281787,3400027,100278,2.949330,97.050670,true
4763771870246,1781364884,112117695,gpu_amcl_cpp,30479,334435549,1381026,2630780,102539,3.897665,96.102335,true
4763771870246,1781364884,112117695,hokuyo_scip_driver,30588,1900390,34662,0,0,0.000000,-1.000000,true
4763771870246,1781364884,112117695,lifecycle_manager_map,30576,2470124,65985,0,0,0.000000,-1.000000,true
4763771870246,1781364884,112117695,map_server,30574,183877184,376383,148763,5578,3.749588,96.250412,true
4763771870246,1781364884,112117695,odom_fused,30477,8478368,271107,1575944,82853,5.257357,94.742643,true
4763771870246,1781364884,112117695,performance_monitor,30485,5197665,154894,41537,1671,4.022919,95.977081,true
4763771870246,1781364884,112117695,pipeline_latency_monitor,30483,12945427,410383,2549491,92252,3.618448,96.381552,true
4763771870246,1781364884,112117695,scan_splitter_node,30590,21092881,140350,584414,24168,4.135425,95.864575,true
4763771870246,1781364884,112117695,static_baselink_to_imu,30631,1361740,22548,0,0,0.000000,-1.000000,true
4763771870246,1781364884,112117695,static_baselink_to_laser,30612,498274,9606,0,0,0.000000,-1.000000,true
4763771870246,1781364884,112117695,system_monitor,30584,87009260,1845047,32105246,683438,2.128742,97.871258,true
4763771870246,1781364884,112117695,vesc_driver_node,30578,11357978,411277,2009968,79129,3.936829,96.063171,true
4763771870246,1781364884,112117695,vesc_to_odom_node,30580,11876596,707338,4606771,278335,6.041868,93.958132,true
4763971886735,1781364884,305811870,ackermann_mux,30586,1612759,27852,0,0,0.000000,-1.000000,true
4763971886735,1781364884,305811870,ackermann_to_vesc_node,30582,11013210,576166,2744535,148218,5.400478,94.599522,true
4763971886735,1781364884,305811870,ekf_localization,30481,13428271,364892,2738382,83105,3.034821,96.965179,true
4763971886735,1781364884,305811870,gpu_amcl_cpp,30479,336941853,1481200,2506304,100174,3.996881,96.003119,true
4763971886735,1781364884,305811870,hokuyo_scip_driver,30588,1900390,34662,0,0,0.000000,-1.000000,true
4763971886735,1781364884,305811870,lifecycle_manager_map,30576,2751441,73959,281317,7974,2.834525,97.165475,true
4763971886735,1781364884,305811870,map_server,30574,184029687,382301,152503,5918,3.880579,96.119421,true
4763971886735,1781364884,305811870,odom_fused,30477,9763638,335906,1285270,64799,5.041664,94.958336,true
4763971886735,1781364884,305811870,performance_monitor,30485,5197665,154894,0,0,0.000000,-1.000000,true
4763971886735,1781364884,305811870,pipeline_latency_monitor,30483,14966059,481967,2020632,71584,3.542654,96.457346,true
4763971886735,1781364884,305811870,scan_splitter_node,30590,21420473,153891,327592,13541,4.133495,95.866505,true
4763971886735,1781364884,305811870,static_baselink_to_imu,30631,1361740,22548,0,0,0.000000,-1.000000,true
4763971886735,1781364884,305811870,static_baselink_to_laser,30612,498274,9606,0,0,0.000000,-1.000000,true
4763971886735,1781364884,305811870,system_monitor,30584,111980669,2396345,24971409,551298,2.207717,97.792283,true
4763971886735,1781364884,305811870,vesc_driver_node,30578,13315750,491292,1957772,80015,4.087044,95.912956,true
4763971886735,1781364884,305811870,vesc_to_odom_node,30580,14593299,893896,2716703,186558,6.867074,93.132926,true
4764171868215,1781364884,505789605,ackermann_mux,30586,1612759,27852,0,0,0.000000,-1.000000,true
4764171868215,1781364884,505789605,ackermann_to_vesc_node,30582,11013210,576166,0,0,0.000000,-1.000000,true
4764171868215,1781364884,505789605,ekf_localization,30481,13428271,364892,0,0,0.000000,-1.000000,true
4764171868215,1781364884,505789605,gpu_amcl_cpp,30479,337388078,1501643,446225,20443,4.581321,95.418679,true
4764171868215,1781364884,505789605,hokuyo_scip_driver,30588,1900390,34662,0,0,0.000000,-1.000000,true
4764171868215,1781364884,505789605,lifecycle_manager_map,30576,2751441,73959,0,0,0.000000,-1.000000,true
4764171868215,1781364884,505789605,map_server,30574,184178609,387894,148922,5593,3.755657,96.244343,true
4764171868215,1781364884,505789605,odom_fused,30477,9763638,335906,0,0,0.000000,-1.000000,true
4764171868215,1781364884,505789605,performance_monitor,30485,5197665,154894,0,0,0.000000,-1.000000,true
4764171868215,1781364884,505789605,pipeline_latency_monitor,30483,15365690,496394,399631,14427,3.610080,96.389920,true
4764171868215,1781364884,505789605,scan_splitter_node,30590,21420473,153891,0,0,0.000000,-1.000000,true
4764171868215,1781364884,505789605,static_baselink_to_imu,30631,1361740,22548,0,0,0.000000,-1.000000,true
4764171868215,1781364884,505789605,static_baselink_to_laser,30612,498274,9606,0,0,0.000000,-1.000000,true
4764171868215,1781364884,505789605,system_monitor,30584,114320751,2443119,2340082,46774,1.998819,98.001181,true
4764171868215,1781364884,505789605,vesc_driver_node,30578,15196215,558546,1880465,67254,3.576456,96.423544,true
4764171868215,1781364884,505789605,vesc_to_odom_node,30580,14593299,893896,0,0,0.000000,-1.000000,true
4764371871328,1781364884,705794478,ackermann_mux,30586,1730836,30572,118077,2720,2.303582,97.696418,true
4764371871328,1781364884,705794478,ackermann_to_vesc_node,30582,15366445,807996,4353235,231830,5.325465,94.674535,true
4764371871328,1781364884,705794478,ekf_localization,30481,17726983,494076,4298712,129184,3.005179,96.994821,true
4764371871328,1781364884,705794478,gpu_amcl_cpp,30479,340488797,1630966,3100719,129323,4.170742,95.829258,true
4764371871328,1781364884,705794478,hokuyo_scip_driver,30588,1900390,34662,0,0,0.000000,-1.000000,true
4764371871328,1781364884,705794478,lifecycle_manager_map,30576,2751441,73959,0,0,0.000000,-1.000000,true
4764371871328,1781364884,705794478,map_server,30574,184330990,393460,152381,5566,3.652686,96.347314,true
4764371871328,1781364884,705794478,odom_fused,30477,11859430,443768,2095792,107862,5.146599,94.853401,true
4764371871328,1781364884,705794478,performance_monitor,30485,5197665,154894,0,0,0.000000,-1.000000,true
4764371871328,1781364884,705794478,pipeline_latency_monitor,30483,18351037,592762,2985347,96368,3.228033,96.771967,true
4764371871328,1781364884,705794478,scan_splitter_node,30590,22140364,180169,719891,26278,3.650275,96.349725,true
4764371871328,1781364884,705794478,static_baselink_to_imu,30631,1361740,22548,0,0,0.000000,-1.000000,true
4764371871328,1781364884,705794478,static_baselink_to_laser,30612,654767,13235,156493,3629,2.318954,97.681046,true
4764371871328,1781364884,705794478,system_monitor,30584,154021256,3308001,39700505,864882,2.178516,97.821484,true
4764371871328,1781364884,705794478,vesc_driver_node,30578,16920038,623923,1723823,65377,3.792559,96.207441,true
4764371871328,1781364884,705794478,vesc_to_odom_node,30580,18591854,1197495,3998555,303599,7.592718,92.407282,true
