idx,stamp_ns,status,status_api,iters,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp
7178,1779177385658316182,0,0,1,-102236,436462,54581,58283,769909,14093,-550929,-102236,381203
7179,1779177385663326602,0,0,1,-102236,444471,54895,57712,770384,15229,-566982,-102236,436462
7180,1779177385668332606,0,0,1,-102236,445945,55801,54784,773589,16594,-584815,-102236,444471
7181,1779177385673349905,0,0,1,-102236,391676,56101,54066,779108,18239,-598093,-102236,445945
7182,1779177385678350437,0,0,1,-102236,331457,56983,51051,786644,20099,-603053,-102236,391676
7183,1779177385683462651,0,0,1,-102236,219148,56638,52476,793646,22079,-600852,-102236,331457
7184,1779177385688324651,0,0,1,-102236,185471,56878,51933,789967,23796,-591790,-102236,219148
7185,1779177385693389184,0,0,1,-102236,261683,57759,48988,780294,25242,-581483,-102236,185471
7186,1779177385698341715,0,0,1,-102236,322783,57964,48553,773411,26348,-570358,-102236,261683
7187,1779177385703485770,0,0,1,-102236,368722,57993,48328,767951,27199,-561486,-102236,322783
7188,1779177385708333402,0,0,1,-102236,421481,58787,45648,765043,27797,-552991,-102236,368722
7189,1779177385713341741,0,0,1,-102236,462287,59569,42899,764094,28245,-548862,-102236,421481
7190,1779177385718330657,0,0,1,-102236,457307,59686,42671,765696,28627,-549593,-102236,462287
7191,1779177385723334996,0,0,1,-102236,423028,59768,42479,769375,29045,-555620,-102236,457307
7192,1779177385728322408,0,0,1,-101758,420103,60514,39669,771512,29561,-563380,-102236,423028
7193,1779177385733400381,0,0,1,-101998,421252,60225,40934,768782,30157,-569285,-102112,420103
7194,1779177385738320783,0,0,1,-102236,438308,60210,40860,765399,30749,-570906,-102236,421252
7195,1779177385743320482,0,0,1,-101320,475445,60937,38006,763678,31325,-570874,-102236,438308
7196,1779177385748321526,0,0,1,-101134,483211,60902,37933,762670,31899,-569498,-101656,475445
7197,1779177385753594831,0,0,1,-100357,516999,61662,35333,760830,32442,-568901,-101461,483211
7198,1779177385758289628,0,0,1,-100165,532554,61541,35528,758575,32914,-564423,-100667,516999
7199,1779177385763391026,0,0,1,-99447,569162,62210,32658,756913,33327,-562528,-100471,532554
7200,1779177385768315748,0,0,1,-100409,554362,61268,35783,755845,33710,-558551,-99744,569162
7201,1779177385772921582,0,0,1,-102116,573863,61879,33237,754480,33981,-552741,-100694,554362
7202,1779177385778322891,0,0,1,-102236,610195,62552,30252,752641,33994,-552588,-102236,573863
7203,1779177385783330366,0,0,1,-101144,650230,62162,30735,751157,33986,-549520,-102236,610195
7204,1779177385788335794,0,0,1,-99528,678283,62751,27993,750148,33971,-547733,-101419,650230
7205,1779177385793328581,0,0,1,-98278,686159,62524,28279,749614,34027,-547209,-99788,678283
7206,1779177385798349753,0,0,1,-98014,681425,62278,28543,749080,34146,-548265,-98545,686159
7207,1779177385803330476,0,0,1,-97572,695064,62650,26676,749080,34274,-550378,-98268,681425
7208,1779177385808335616,0,0,1,-97440,707005,62398,26899,748843,34471,-552242,-97834,695064
7209,1779177385813317043,0,0,1,-96561,733436,62932,24141,748249,34686,-553591,-97692,707005
7210,1779177385818338599,0,0,1,-95774,746827,62662,24356,747122,34957,-554100,-96799,733436
7211,1779177385823399516,0,0,1,-95098,775924,63170,21550,746350,35215,-554459,-96799,746827
7212,1779177385828664278,0,0,1,-93805,781332,62899,21648,745460,35464,-555325,-95302,775924
7213,1779177385833334722,0,0,1,-93732,777994,62228,23464,744748,35843,-551656,-94026,781332
7214,1779177385838316341,0,0,1,-93187,801962,62719,20721,743917,36169,-550581,-93950,777994
7215,1779177385843316488,0,0,1,-92734,802075,62395,20907,744273,36504,-549466,-93401,801962
7216,1779177385848304956,0,0,1,-91531,815136,62855,18173,744748,36840,-547983,-92943,802075
7217,1779177385853331024,0,0,1,-90298,816458,62582,17607,745282,37224,-545528,-91740,815136
7218,1779177385858340995,0,0,1,-88599,831493,63001,14892,744986,37626,-541958,-90504,816458
7219,1779177385863341719,0,0,1,-87459,831777,62650,15093,745104,38066,-537557,-88798,831493
7220,1779177385868338442,0,0,1,-86163,842872,63038,12429,745520,38497,-533178,-87659,831777
7221,1779177385873348894,0,0,1,-85282,836479,62690,12605,745935,38930,-528658,-86355,842872
7222,1779177385878291888,0,0,1,-84868,835486,62324,12819,745638,39322,-523972,-85483,836479
7223,1779177385883383046,0,0,1,-84186,845100,62439,10795,745935,39666,-520379,-85067,835486
7224,1779177385888372601,0,0,1,-83686,843080,62062,11003,746528,39983,-516657,-84385,845100
7225,1779177385893394157,0,0,1,-83313,836919,61685,11147,747003,40269,-513940,-83875,843080
7226,1779177385898400897,0,0,1,-82278,847865,62029,8579,747300,40527,-512839,-83506,836919
7227,1779177385903357331,0,0,1,-81103,853427,61712,8153,747241,40819,-513163,-82462,847865
7228,1779177385908320038,0,0,1,-79457,866892,62013,5597,747537,41181,-514993,-81291,853427
7229,1779177385913341466,0,0,1,-78119,868367,61598,5694,748131,41671,-517841,-79642,866892
7230,1779177385918319437,0,0,1,-77215,860320,61166,5788,748962,42272,-520974,-78300,868367
7231,1779177385923341569,0,0,1,-75912,866825,61446,3159,749852,42967,-523510,-77393,860320
7232,1779177385927977580,0,0,1,-75095,859052,60983,3424,750742,43700,-522818,-76090,866825
7233,1779177385933356841,0,0,1,-73659,874209,61487,0,751039,44563,-521741,-75273,859052
7234,1779177385938319611,0,0,1,-72622,871194,61000,165,751751,45403,-518013,-73833,874209
7235,1779177385943333071,0,0,1,-72361,861981,60504,307,752581,46231,-514970,-72791,871194
7236,1779177385948341155,0,0,1,-71748,868555,60725,-2265,753590,47002,-513466,-72527,861981
7237,1779177385953350199,0,0,1,-71214,881830,60371,-2636,753294,47749,-512847,-71917,868555
7238,1779177385958352778,0,0,1,-70159,901924,60557,-5202,753056,48480,-512871,-71394,881830
7239,1779177385963343101,0,0,1,-69604,901870,60001,-4888,754065,49256,-512952,-70329,901924
7240,1779177385968479796,0,0,1,-69725,902704,59415,-4570,755252,50070,-513233,-69764,901870
7241,1779177385973494792,0,0,1,-69348,914070,59585,-7140,756201,50834,-512558,-69886,902704
7242,1779177385978364248,0,0,1,-69642,921898,58189,-4953,757269,51567,-509801,-69501,914070
7243,1779177385983380300,0,0,1,-69158,928854,58361,-7490,758338,52258,-505833,-69501,921898
7244,1779177385988335295,0,0,2,-68489,947583,58498,-9970,759109,52870,-500472,-69300,928854
7245,1779177385993343539,0,0,1,-68065,953890,57842,-9324,760118,53447,-494322,-68409,947583
7246,1779177385998353222,0,0,1,-68197,958741,57169,-8630,761483,53952,-488490,-67902,953890
7247,1779177386003343162,0,0,1,-68707,960029,56484,-7913,763560,54360,-484241,-68008,958741
7248,1779177386008356077,0,0,1,-68500,973076,56624,-10330,764213,54663,-482167,-68463,960029
7249,1779177386013356256,0,0,1,-69923,968838,55635,-5688,764509,54936,-481732,-68261,973076
7250,1779177386018363476,0,0,1,-71418,983887,54952,-5074,765518,55108,-483320,-69700,968838
7251,1779177386023340806,0,0,1,-71752,996290,55135,-7494,767358,55221,-486053,-71206,983887
7252,1779177386028350234,0,0,1,-71461,1005496,54453,-6924,769197,55371,-488434,-71553,996290
7253,1779177386033361709,0,0,3,-69778,1050850,54624,-11318,770206,55582,-489401,-71266,1005496
7254,1779177386038346432,0,0,5,-68809,1077103,54719,-13750,771690,55900,-487902,-69951,1050850
7255,1779177386043059053,0,0,1,-68232,1076549,54006,-13060,773292,56255,-483526,-68783,1077103
7256,1779177386048356839,0,0,6,-68593,1099982,54081,-15597,775132,56619,-479024,-68307,1076549
7257,1779177386053426428,0,0,1,-69248,1114490,53377,-15049,776734,56876,-473785,-68668,1099982
7258,1779177386058354798,0,0,1,-70054,1129838,52658,-14414,777980,57006,-469132,-69322,1114490
