idx,stamp_ns,status,status_api,iters,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp
23147,1779178009756463434,0,0,2,-28357,-1002465,-25410,28047,1345413,-205237,-632,-28858,-969566
23148,1779178009761464032,0,0,2,-28227,-1052750,-25670,27832,1345413,-205237,-632,-28353,-1002465
23149,1779178009766475894,0,0,9,-27909,-1108077,-25888,27401,1339301,-197121,-40047,-27890,-1052750
23150,1779178009771523885,0,0,3,-27882,-1153011,-26131,27004,1336155,-192398,-59722,-27917,-1108077
23151,1779178009776484098,0,0,8,-28019,-1183301,-25569,26275,1332773,-187392,-80169,-28245,-1153011
23152,1779178009781469816,0,0,3,-27416,-1219202,-25793,25683,1329450,-181945,-100991,-27998,-1183301
23153,1779178009786466095,0,0,4,-27061,-1292073,-25992,24933,1325949,-176056,-121243,-27414,-1219202
23154,1779178009791502469,0,0,3,-26934,-1366365,-26188,24105,1321023,-169728,-140315,-27066,-1292073
23155,1779178009796378170,0,0,3,-26488,-1386034,-25884,22613,1315267,-163292,-157659,-26945,-1366365
23156,1779178009801516626,0,0,3,-25650,-1354358,-26116,21718,1310104,-156229,-174172,-26945,-1386034
23157,1779178009806560744,0,0,4,-24333,-1354855,-26318,20710,1305119,-149010,-188453,-26023,-1354358
23158,1779178009811565758,0,0,4,-22802,-1358811,-26516,19675,1300075,-141586,-200938,-24434,-1354855
23159,1779178009816677462,0,0,4,-22593,-1450495,-26699,18517,1300075,-141586,-200938,-23498,-1358811
23160,1779178009821354473,0,0,4,-21666,-1472522,-26865,17424,1288325,-126689,-223518,-22443,-1450495
23161,1779178009826688706,0,0,3,-20283,-1428005,-26567,15941,1281976,-118397,-232698,-21635,-1472522
23162,1779178009831762073,0,0,4,-18738,-1415930,-26744,14712,1275982,-110386,-239027,-20284,-1428005
23163,1779178009836609998,0,0,5,-17448,-1420429,-26907,13519,1270463,-102735,-244064,-19011,-1415930
23164,1779178009841527011,0,0,5,-15998,-1474601,-27077,12338,1265360,-94976,-248219,-17379,-1420429
23165,1779178009846618106,0,0,4,-14473,-1491725,-26885,10687,1260138,-87011,-252360,-16293,-1474601
23166,1779178009851566288,0,0,3,-11797,-1450389,-27039,9421,1255034,-79274,-255747,-14142,-1491725
23167,1779178009856539654,0,0,5,-9956,-1498547,-27220,8278,1249634,-71509,-257759,-11862,-1450389
23168,1779178009861546556,0,0,4,-7518,-1494045,-27382,7083,1243106,-63713,-258218,-9135,-1498547
23169,1779178009866537202,0,0,5,-5974,-1494481,-27535,5896,1236460,-56070,-258184,-7378,-1494045
23170,1779178009871473927,0,0,4,-3201,-1519000,-27689,4772,1230170,-48664,-257428,-5934,-1494481
23171,1779178009876514558,0,0,6,501,-1562783,-27316,3285,1223701,-41189,-254208,-3223,-1519000
23172,1779178009881481204,0,0,6,1717,-1487278,-27467,2228,1216996,-33905,-248744,514,-1562783
23173,1779178009886486090,0,0,5,930,-1484566,-27608,1196,1210943,-26857,-243142,1772,-1487278
23174,1779178009891498304,0,0,4,1833,-1591022,-27880,714,1203703,-20173,-238416,1835,-1484566
23175,1779178009896786586,0,0,4,2961,-1532486,-27524,-910,1195929,-13489,-233960,1835,-1591022
23176,1779178009901484973,0,0,5,4925,-1562177,-27592,-1998,1195929,-13489,-233960,2944,-1532486
23177,1779178009906515171,0,0,6,6082,-1458564,-27735,-2850,1181272,-1979,-228897,4679,-1562177
23178,1779178009911510009,0,0,5,7436,-1453050,-27793,-3974,1174447,3724,-225156,5886,-1458564
23179,1779178009916477935,0,0,5,6217,-1450632,-28009,-4398,1168098,9153,-222580,6640,-1453050
23180,1779178009921471045,0,0,4,7562,-1453384,-28133,-5144,1161511,14368,-220914,6930,-1450632
23181,1779178009926487163,0,0,5,13322,-1510357,-27483,-7124,1155754,19513,-218145,8996,-1453384
23182,1779178009931467473,0,0,4,9035,-1364829,-27635,-7756,1149464,24531,-213733,11491,-1510357
23183,1779178009936465768,0,0,10,12232,-1504819,-27778,-8351,1143470,29321,-208284,12161,-1364829
23184,1779178009941465470,0,0,11,9740,-1397475,-27918,-8890,1137892,33633,-203192,9539,-1504819
23185,1779178009946716151,0,0,7,12640,-1448325,-27209,-11127,1132373,38392,-189894,17057,-1397475
23186,1779178009951477322,0,0,4,16018,-1426546,-27244,-11975,1126914,42326,-178154,18197,-1448325
23187,1779178009956464928,0,0,3,12941,-1425377,-27415,-12240,1121336,45855,-166784,15507,-1426546
23188,1779178009961468694,0,0,2,11843,-1420314,-27582,-12416,1115520,48813,-155972,12676,-1425377
23189,1779178009966487149,0,0,2,12008,-1424824,-27741,-12517,1109289,51316,-143524,11188,-1420314
23190,1779178009971560676,0,0,4,17015,-1543407,-28072,-11809,1103711,53534,-127400,12255,-1424824
23191,1779178009976540506,0,0,10,13470,-1347699,-27412,-12689,1097717,55364,-109066,13740,-1543407
23192,1779178009981468719,0,0,6,15739,-1529262,-27589,-12374,1091308,57031,-87953,18758,-1347699
23193,1779178009986468485,0,0,3,14430,-1411093,-27766,-11918,1085671,58090,-70438,17205,-1529262
23194,1779178009991466875,0,0,11,12878,-1535137,-27939,-11381,1079381,58144,-61116,8579,-1411093
23195,1779178009996479122,0,0,4,11021,-1400346,-28112,-10749,1073268,57980,-52101,9465,-1535137
23196,1779178010001840012,0,0,5,17595,-1490905,-27377,-12092,1067215,57895,-40352,12863,-1400346
23197,1779178010006478494,0,0,4,18733,-1431579,-27816,-10366,1060984,58408,-22957,26242,-1490905
23198,1779178010011644502,0,0,9,22302,-1635451,-27997,-9417,1054872,58570,-6589,25395,-1431579
23199,1779178010016485290,0,0,8,13750,-1352578,-27899,-9404,1049709,57835,2790,17828,-1635451
23200,1779178010021463328,0,0,8,21874,-1702162,-28345,-7253,1043716,56916,15118,18069,-1352578
23201,1779178010026497303,0,0,8,15251,-1321697,-27383,-9334,1037959,55667,27736,16746,-1702162
23202,1779178010031471565,0,0,9,8006,-1507943,-27555,-8054,1033093,54059,39035,14403,-1321697
23203,1779178010036470371,0,0,6,4315,-1343681,-27725,-6674,1027753,51896,46737,8874,-1507943
23204,1779178010041466521,0,0,8,10467,-1629223,-27895,-5183,1027753,51896,46737,7996,-1343681
23205,1779178010046489583,0,0,10,9281,-1403064,-27478,-4638,1016596,47007,61165,5143,-1629223
23206,1779178010051475365,0,0,6,6610,-1554023,-27681,-2876,1011077,44538,70212,7194,-1403064
23207,1779178010056466939,0,0,10,3901,-1359659,-27893,-932,1004787,42017,79943,7838,-1554023
23208,1779178010061481938,0,0,17,2633,-1550383,-28123,1227,998912,39304,88568,6621,-1359659
23209,1779178010066514824,0,0,22,-2426,-1391955,-28368,3600,993275,36392,95440,4813,-1550383
23210,1779178010071559711,0,0,18,-3397,-1539218,-28625,6176,987340,33343,100536,3231,-1391955
23211,1779178010076477844,0,0,33,-10921,-1299570,-28834,6197,981525,30356,104531,2711,-1539218
23212,1779178010081484394,0,0,12,-6026,-1680215,-29187,9129,976065,27155,105433,-294,-1299570
23213,1779178010086480704,0,0,5,-6960,-1407412,-29538,12168,969656,23569,101670,-7857,-1680215
23214,1779178010091501335,0,0,5,-16073,-1523884,-29895,15365,963307,19999,98490,-10601,-1407412
23215,1779178010096771536,0,0,5,-11059,-1585945,-30813,20221,956838,16434,96796,-11076,-1523884
23216,1779178010101473571,0,0,4,-10063,-1583989,-30403,20681,956838,16434,96796,-12783,-1585945
23217,1779178010106464857,0,0,3,-12664,-1500391,-29977,21172,944139,10058,98377,-13618,-1583989
23218,1779178010111468847,0,0,4,-22872,-1471023,-30250,24537,937374,6719,97700,-16669,-1500391
23219,1779178010116467333,0,0,4,-16275,-1689576,-30498,27951,937374,6719,97700,-16669,-1471023
23220,1779178010121467259,0,0,5,-23975,-1419935,-30705,31343,925327,313,96493,-19929,-1689576
23221,1779178010126730932,0,0,5,-37090,-1541525,-31637,36521,918978,-3589,87407,-29118,-1419935
23222,1779178010131477480,0,0,4,-40505,-1421151,-31066,36895,913518,-7177,78828,-35270,-1541525
23223,1779178010136466814,0,0,4,-45530,-1521196,-31213,40118,913518,-7177,78828,-39627,-1421151
23224,1779178010141478868,0,0,4,-51071,-1341353,-31323,43249,901828,-14690,54568,-45316,-1521196
23225,1779178010146488618,0,0,5,-60742,-1335897,-31061,45985,895241,-18450,41996,-51239,-1341353
23226,1779178010151511424,0,0,3,-67931,-1184785,-30390,46128,889485,-22365,28289,-59378,-1335897
23227,1779178010156465590,0,0,5,-78779,-1103973,-30455,49062,883669,-26370,13832,-67981,-1184785
