time_s,rpm,motor_current_A,duty_cycle,voltage_V,phase
1.8301,0,0.00,0.0010,11.6,baseline
1.8351,0,0.00,0.0000,11.6,baseline
1.8401,0,0.00,-0.0010,11.6,baseline
1.8451,0,0.00,0.0010,11.6,baseline
1.8501,0,0.00,0.0000,11.6,baseline
1.8551,0,0.00,-0.0010,11.6,baseline
1.8601,0,0.00,-0.0010,11.6,baseline
1.8651,0,0.00,-0.0010,11.6,baseline
1.8701,0,0.00,-0.0010,11.6,baseline
1.8751,0,0.00,-0.0010,11.6,baseline
1.8801,0,0.00,-0.0010,11.6,baseline
1.8851,0,0.00,-0.0010,11.6,baseline
1.8901,0,0.00,-0.0010,11.6,baseline
1.8951,0,0.00,-0.0010,11.6,baseline
1.9001,0,0.00,-0.0010,11.6,baseline
1.9051,0,0.00,0.0000,11.6,baseline
1.9101,0,0.00,0.0000,11.6,baseline
1.9151,0,0.00,0.0000,11.6,baseline
1.9201,0,0.00,0.0010,11.6,baseline
1.9251,0,0.00,-0.0010,11.6,baseline
1.9301,0,0.00,0.0000,11.6,baseline
1.9351,0,0.00,0.0000,11.6,baseline
1.9401,0,0.00,0.0000,11.6,baseline
1.9451,0,0.00,0.0000,11.6,baseline
1.9501,0,0.00,-0.0010,11.6,baseline
1.9551,0,0.00,-0.0010,11.6,baseline
1.9601,0,0.00,-0.0010,11.6,baseline
1.9651,0,0.00,-0.0010,11.6,baseline
1.9701,0,0.00,-0.0010,11.6,baseline
1.9751,0,0.00,-0.0010,11.6,baseline
1.9801,0,0.00,-0.0010,11.6,baseline
1.9851,0,0.00,0.0000,11.6,baseline
1.9901,0,0.00,-0.0010,11.6,baseline
1.9951,0,0.00,0.0000,11.6,baseline
2.0003,0,0.00,0.0000,11.6,step_up
2.0051,0,-0.02,0.0000,11.6,step_up
2.0101,0,0.00,0.0000,11.6,step_up
2.0151,0,-0.01,0.0000,11.6,step_up
2.0201,0,-0.01,-0.0010,11.6,step_up
2.0251,0,-0.01,0.0000,11.6,step_up
2.0301,0,-0.02,-0.0030,11.6,step_up
2.0351,0,-0.03,0.0000,11.6,step_up
2.0401,0,-0.01,-0.0040,11.6,step_up
2.0451,0,-0.03,0.0000,11.6,step_up
2.0501,0,-0.02,-0.0010,11.6,step_up
2.0551,0,-0.01,0.0000,11.6,step_up
2.0601,0,-0.01,-0.0070,11.6,step_up
2.0651,0,0.04,0.0000,11.6,step_up
2.0701,0,-0.02,-0.0020,11.6,step_up
2.0751,0,-0.02,0.0000,11.6,step_up
2.0801,0,-0.02,-0.0040,11.6,step_up
2.0851,0,-0.02,0.0000,11.6,step_up
2.0901,0,0.00,-0.0030,11.6,step_up
2.0951,0,-0.03,0.0000,11.6,step_up
2.1001,0,-0.02,-0.0010,11.6,step_up
2.1051,0,-0.01,0.0000,11.6,step_up
2.1101,0,-0.01,0.0000,11.6,step_up
2.1151,0,0.00,0.0000,11.6,step_up
2.1201,0,-0.01,-0.0020,11.6,step_up
2.1251,0,-0.02,0.0000,11.6,step_up
2.1301,0,-0.03,-0.0010,11.6,step_up
2.1351,0,-0.01,0.0000,11.6,step_up
2.1401,0,-0.01,-0.0020,11.6,step_up
2.1451,0,-0.02,0.0000,11.6,step_up
2.1501,0,-0.03,-0.0030,11.6,step_up
2.1551,0,-0.03,0.0000,11.6,step_up
2.1601,0,-0.01,-0.0030,11.6,step_up
2.1651,0,-0.03,0.0000,11.6,step_up
2.1701,0,-0.03,-0.0070,11.6,step_up
2.1751,0,0.05,0.0000,11.6,step_up
2.1801,0,-0.01,-0.0020,11.6,step_up
2.1851,0,-0.02,0.0000,11.6,step_up
2.1901,0,-0.01,-0.0010,11.6,step_up
2.1951,0,-0.01,0.0000,11.6,step_up
2.2001,0,-0.01,-0.0040,11.6,step_up
2.2051,0,-0.03,0.0000,11.6,step_up
2.2101,0,-0.02,0.0000,11.6,step_up
2.2151,0,0.00,0.0000,11.6,step_up
2.2201,0,0.00,-0.0010,11.6,step_up
2.2251,0,-0.01,0.0000,11.6,step_up
2.2301,0,-0.02,-0.0020,11.6,step_up
2.2351,0,-0.02,0.0000,11.6,step_up
2.2401,0,-0.01,-0.0040,11.6,step_up
2.2451,0,0.03,0.0000,11.6,step_up
2.2501,0,0.00,0.0010,11.6,step_up
2.2551,0,-0.01,0.0000,11.6,step_up
2.2601,0,-0.03,-0.0040,11.6,step_up
2.2651,0,-0.02,0.0000,11.6,step_up
2.2701,0,-0.01,-0.0020,11.6,step_up
2.2751,0,-0.02,0.0000,11.6,step_up
2.2801,0,-0.01,-0.0010,11.6,step_up
2.2851,0,-0.01,0.0000,11.6,step_up
2.2901,0,-0.03,-0.0030,11.6,step_up
2.2951,0,-0.02,0.0000,11.6,step_up
2.3001,0,-0.01,-0.0010,11.6,step_up
2.3051,0,-0.02,0.0000,11.6,step_up
2.3101,0,-0.03,-0.0020,11.6,step_up
2.3151,0,-0.02,0.0000,11.6,step_up
2.3201,0,-0.01,-0.0070,11.6,step_up
2.3251,0,0.04,0.0000,11.6,step_up
2.3301,0,-0.01,0.0000,11.6,step_up
2.3351,0,0.00,0.0000,11.6,step_up
2.3401,0,-0.03,-0.0040,11.6,step_up
2.3451,0,0.02,0.0000,11.6,step_up
2.3501,0,-0.02,0.0000,11.6,step_up
2.3551,0,0.00,0.0000,11.6,step_up
2.3601,0,-0.02,-0.0050,11.6,step_up
2.3651,0,0.04,0.0000,11.6,step_up
2.3701,0,-0.01,-0.0010,11.6,step_up
2.3751,0,-0.01,0.0000,11.6,step_up
2.3801,0,-0.02,-0.0020,11.6,step_up
2.3851,0,-0.02,0.0000,11.6,step_up
2.3901,0,-0.03,0.0000,11.6,step_up
2.3951,0,-0.01,0.0000,11.6,step_up
2.4001,0,-0.01,-0.0030,11.6,step_up
2.4051,0,-0.03,0.0000,11.6,step_up
2.4101,0,-0.02,-0.0020,11.6,step_up
2.4151,0,-0.02,0.0000,11.6,step_up
2.4201,0,-0.01,-0.0040,11.6,step_up
2.4251,0,-0.03,0.0000,11.6,step_up
2.4301,0,-0.02,-0.0020,11.6,step_up
2.4351,0,-0.03,0.0000,11.6,step_up
2.4401,0,-0.01,0.0000,11.6,step_up
2.4451,0,-0.02,0.0000,11.6,step_up
2.4501,0,-0.04,-0.0010,11.6,step_up
2.4551,0,-0.01,0.0000,11.6,step_up
2.4602,0,-0.02,-0.0020,11.6,step_up
2.4651,0,-0.02,0.0000,11.6,step_up
2.4701,0,-0.01,-0.0010,11.6,step_up
2.4751,0,-0.02,0.0000,11.6,step_up
2.4801,0,-0.02,-0.0010,11.6,step_up
2.4851,0,-0.01,0.0000,11.6,step_up
2.4901,0,-0.03,0.0000,11.6,step_up
2.4951,0,0.00,0.0000,11.6,step_up
2.5001,0,-0.01,-0.0020,11.6,step_up
2.5051,0,-0.02,0.0000,11.6,step_up
2.5101,0,-0.02,0.0010,11.6,step_up
2.5151,0,-0.01,0.0000,11.6,step_up
2.5201,0,-0.03,0.0000,11.6,step_up
2.5251,0,-0.01,0.0000,11.6,step_up
2.5301,0,-0.01,-0.0010,11.6,step_up
2.5351,0,-0.02,0.0000,11.6,step_up
2.5401,0,-0.02,-0.0050,11.6,step_up
2.5451,0,0.00,0.0000,11.6,step_up
2.5501,0,-0.04,-0.0020,11.6,step_up
2.5551,0,-0.02,0.0000,11.6,step_up
2.5601,0,-0.01,-0.0040,11.6,step_up
2.5651,0,-0.04,0.0000,11.6,step_up
2.5701,0,-0.01,-0.0020,11.6,step_up
2.5751,0,-0.02,0.0000,11.6,step_up
2.5801,0,-0.02,0.0000,11.6,step_up
2.5851,0,0.00,0.0000,11.6,step_up
2.5901,0,-0.02,-0.0060,11.6,step_up
2.5951,0,0.04,0.0000,11.6,step_up
