stage,trial_id,side,fraction,approach,raw_echo,odom_v,odom_v_mad,yaw_rate,yaw_rate_mad,curvature,delta_eq_rad,delta_eq_deg,split
04_static_map_training,training_high_raw_0.42_outward_sweep_02__attempt_01,high_raw,0.42,outward,0.7011175312912011,0.615057142857143,0.0026849723076924153,-0.34514240809817626,0.020600099762789748,-0.5611550277993296,-0.17984967346857567,-10.304627236555364,train
04_static_map_training,training_high_raw_0.57_outward_sweep_02__attempt_01,high_raw,0.57,outward,0.7613457559572698,0.615057142857143,0.00402745846153854,-0.44863900661867623,0.02764725813568655,-0.7294265448810175,-0.23207595956894414,-13.296973009749232,train
04_static_map_training,training_high_raw_0.72_outward_sweep_02__attempt_01,high_raw,0.72,outward,0.8215739806233386,0.6141516483516484,0.005705566153846115,-0.5560036801749483,0.034279636812075846,-0.9053198532760333,-0.285320487861395,-16.34765976307157,train
04_static_map_training,training_high_raw_0.87_outward_sweep_02__attempt_01,high_raw,0.87,outward,0.8818022052894074,0.6130197802197803,0.008054916923076916,-0.6667408810671557,0.04843619025435891,-1.0876335520986211,-0.3388053161879175,-19.412114694163062,train
04_static_map_training,training_high_raw_0.87_inward_sweep_02__attempt_01,high_raw,0.87,inward,0.8818022052894074,0.6130197802197803,0.007719295384615467,-0.666120830586358,0.04820446837488446,-1.0866220831365994,-0.33851377096662566,-19.39541038344583,train
04_static_map_training,training_high_raw_0.72_inward_sweep_02__attempt_02,high_raw,0.72,inward,0.8215739806233386,0.6132461538461539,0.009061781538461593,-0.559578141700539,0.04008250545048307,-0.9124853669133999,-0.28745684629713714,-16.470064084966765,train
04_static_map_training,training_high_raw_0.57_inward_sweep_02__attempt_01,high_raw,0.57,inward,0.7613457559572698,0.6146043956043956,0.005369944615384501,-0.45484720130430084,0.023299770707490338,-0.7400649988144142,-0.23533795418970394,-13.483871534313145,train
04_static_map_training,training_high_raw_0.42_inward_sweep_02__attempt_01,high_raw,0.42,inward,0.7011175312912011,0.615057142857143,0.003691836923076762,-0.3504497885450815,0.0184027643429645,-0.5697841129315674,-0.18255469684127026,-10.459613659295007,train
04_static_map_training,training_high_raw_0.27_inward_sweep_02__attempt_01,high_raw,0.27,inward,0.6408893066251323,0.6157362637362638,0.0030205938461538642,-0.20759396608965056,0.01470399946723078,-0.33714753915901985,-0.10880440312587893,-6.234033091552884,train
04_static_map_training,training_high_raw_0.15_inward_sweep_02__attempt_01,high_raw,0.15,inward,0.5927067268922773,0.6164153846153847,0.003356215384615313,-0.11288804620858181,0.010989502674759644,-0.18313632175001415,-0.0592666784345509,-3.3957305400587794,train
04_static_map_training,training_high_raw_0.08_inward_sweep_02__attempt_01,high_raw,0.08,inward,0.5646002220481119,0.6159626373626373,0.003356215384615313,-0.05813774854381042,0.01292686662815322,-0.09438518672615986,-0.030571272939092634,-1.7516049137525118,train
04_static_map_training,training_high_raw_0.04_inward_sweep_02__attempt_01,high_raw,0.04,inward,0.5485393621371601,0.6164153846153847,0.0030205938461538642,-0.01437444002990458,0.011026217421031919,-0.02331940504514432,-0.007555343470245693,-0.4328892936168035,train
04_static_map_training,training_low_raw_0.04_outward_sweep_02__attempt_01,low_raw,0.04,outward,0.5158185022262085,0.616189010989011,0.0030205938461536994,0.028379496101050304,0.013566310434430155,0.04605647876696135,0.014921191660746742,0.854921307466588,train
04_static_map_training,training_low_raw_0.08_outward_sweep_02__attempt_01,low_raw,0.08,outward,0.4991585022262085,0.6155098901098901,0.0030205938461538642,0.06878862968385295,0.015083681565965967,0.11175877234331973,0.03619402913357258,2.0737651129272523,train
04_static_map_training,training_low_raw_0.15_outward_sweep_02__attempt_02,low_raw,0.15,outward,0.47000350222620846,0.6159626373626373,0.0030205938461538642,0.13545722237224467,0.01275644369954297,0.2199114266933963,0.0711310932288656,4.075511434165587,train
04_static_map_training,training_low_raw_0.27_outward_sweep_02__attempt_01,low_raw,0.27,outward,0.42002350222620843,0.616189010989011,0.003356215384615478,0.2450689838713522,0.01171318318344191,0.39771722556039335,0.12815416178784347,7.342692597480159,train
04_static_map_training,training_low_raw_0.42_outward_sweep_02__attempt_01,low_raw,0.42,outward,0.3575485022262084,0.6155098901098901,0.003356215384615478,0.39244435714421577,0.015262426986999325,0.6375922847870904,0.20371430730585796,11.671970035056733,train
04_static_map_training,training_low_raw_0.57_outward_sweep_02__attempt_01,low_raw,0.57,outward,0.2950735022262083,0.6146043956043956,0.005873376923077004,0.5195211332332521,0.02243203519652574,0.8452935529729826,0.267320110237145,15.316314095560323,train
04_static_map_training,training_low_raw_0.72_outward_sweep_02__attempt_01,low_raw,0.72,outward,0.23259850222620826,0.6139252747252747,0.006376809230769178,0.6231476440806776,0.04163175993327361,1.0150219737402566,0.3177255907410521,18.204335392763152,train
04_static_map_training,training_low_raw_0.87_outward_sweep_02__attempt_01,low_raw,0.87,outward,0.1701235022262082,0.6127934065934065,0.009061781538461593,0.7474011198743369,0.05722311353704744,1.2196624699818999,0.3763362155473908,21.562476828791127,train
04_static_map_training,training_low_raw_0.87_inward_sweep_02__attempt_01,low_raw,0.87,inward,0.1701235022262082,0.6130197802197803,0.010404267692307553,0.7427766737994689,0.05422158721111891,1.2116683633490064,0.37409398128268423,21.434006268743822,train
04_static_map_training,training_low_raw_0.72_inward_sweep_02__attempt_01,low_raw,0.72,inward,0.23259850222620826,0.6132461538461539,0.007383673846153689,0.632031583292532,0.046323745491124946,1.0306327717321335,0.3222829760756847,18.465454338052414,train
04_static_map_training,training_low_raw_0.57_inward_sweep_02__attempt_01,low_raw,0.57,inward,0.2950735022262083,0.614378021978022,0.00704805230769224,0.5263136254620401,0.02206026841119228,0.8566608938378785,0.2707429247259324,15.512426919824069,train
04_static_map_training,training_low_raw_0.42_inward_sweep_02__attempt_01,low_raw,0.42,inward,0.3575485022262084,0.615057142857143,0.0030205938461536994,0.39370639589529066,0.016984201987298296,0.640113525170027,0.20449762840838567,11.716851028235105,train
04_static_map_training,training_low_raw_0.27_inward_sweep_02__attempt_02,low_raw,0.27,inward,0.42002350222620843,0.6164153846153847,0.003356215384615478,0.24440797896641614,0.0117543206033656,0.39649883027970767,0.1277658302274435,7.320442838017512,train
04_static_map_training,training_low_raw_0.15_inward_sweep_02__attempt_01,low_raw,0.15,inward,0.47000350222620846,0.6159626373626373,0.0030205938461538642,0.13860981837522082,0.014710514331573856,0.225029587782638,0.07278080582055166,4.170033003078786,train
04_static_map_training,training_low_raw_0.08_inward_sweep_02__attempt_01,low_raw,0.08,inward,0.4991585022262085,0.6166417582417583,0.0030205938461538642,0.06998615751870992,0.013501069250312964,0.11349565056745865,0.036756029299028735,2.1059653504935443,train
04_static_map_training,training_low_raw_0.04_inward_sweep_02__attempt_01,low_raw,0.04,inward,0.5158185022262085,0.6164153846153847,0.0030205938461538642,0.028429340905921422,0.013469016241132732,0.04612042725646772,0.014941906352295108,0.8561081718662247,train
05_static_map_holdout,validation_high_raw_0.80_shuffled_sweep_01__attempt_01,high_raw,0.8,shuffled,0.853695700445242,0.6139252747252747,0.007719295384615302,-0.6158205086555409,0.03737518447568261,-1.0030870759167136,-0.3142320913710558,-18.00417262313075,holdout
05_static_map_holdout,validation_high_raw_0.35_shuffled_sweep_01__attempt_01,high_raw,0.35,shuffled,0.6730110264470357,0.6155098901098901,0.0030205938461538642,-0.29512754374670197,0.018542389731044006,-0.47948464921337225,-0.1541210255589148,-8.830484298753708,holdout
05_static_map_holdout,validation_high_raw_0.20_shuffled_sweep_01__attempt_01,high_raw,0.2,shuffled,0.6127828017809669,0.616189010989011,0.0026849723076922505,-0.1445599058541877,0.014250377359829525,-0.2346031871327315,-0.07586554665446103,-4.3467756337534595,holdout
05_static_map_holdout,validation_high_raw_0.65_shuffled_sweep_01__attempt_02,high_raw,0.65,shuffled,0.7934674757791733,0.6139252747252747,0.007383673846153689,-0.5207951426017171,0.034835325127518364,-0.8483037985930252,-0.26822715224271715,-15.368283774320686,holdout
05_static_map_holdout,validation_high_raw_0.50_shuffled_sweep_01__attempt_01,high_raw,0.5,shuffled,0.7332392511131045,0.615057142857143,0.005034323076923217,-0.4090447920070594,0.020033059789779917,-0.665051689517679,-0.21223179878551487,-12.159986348879713,holdout
