idx,iterations,status,solve_time_us,total_call_us,opencl_overhead_us,input_pack_us,input_migrate_enq_us,kernel_enq_us,output_migrate_enq_us,wait_us,output_unpack_us,input_migrate_us,kernel_us,output_migrate_us,in_mig_submit_us,in_mig_sched_us,gap_in_to_kernel_us,kernel_submit_us,kernel_sched_us,gap_kernel_to_out_us,out_mig_submit_us,out_mig_sched_us,udp_recv_us,crc_us
6453,1,0,236.173,275.303,161.752,4.990,19.360,103.851,7.180,116.631,0.330,18.331,113.551,11.220,1.010,31.460,26.690,0.700,0.840,26.131,63.790,24.311,8.090,92.601
6454,1,0,202.283,234.193,135.342,4.840,14.420,85.621,7.340,103.352,0.330,10.331,98.851,10.470,0.780,26.470,23.970,0.700,0.800,21.810,55.471,20.080,6.270,92.591
6455,1,0,196.163,227.103,130.962,4.840,13.890,80.071,7.281,102.691,0.260,10.020,96.141,11.061,0.760,22.221,23.820,0.700,0.820,21.660,53.850,19.920,6.300,92.491
6456,1,0,319.284,351.084,130.752,4.860,14.660,81.791,7.140,224.183,0.250,10.540,220.332,9.370,0.800,22.530,24.701,0.780,0.860,21.111,178.332,19.371,7.200,92.491
6457,1,0,245.373,277.263,131.481,4.870,14.650,81.531,7.410,150.422,0.240,10.241,145.782,9.310,0.840,21.700,25.610,0.690,0.830,22.020,103.452,20.280,6.740,92.511
6458,1,0,197.442,228.033,129.812,4.840,13.810,79.051,7.140,105.231,0.260,9.590,98.221,9.120,0.790,21.680,24.191,0.710,0.830,22.080,56.801,20.300,6.221,92.511
6459,1,0,192.793,223.953,127.292,4.840,13.860,78.121,7.221,101.351,0.250,9.940,96.661,8.711,0.790,21.851,23.650,0.720,0.810,21.400,55.670,19.730,6.780,92.501
6460,1,0,201.543,232.803,130.182,4.870,13.970,80.001,7.211,108.041,0.280,9.250,102.621,9.320,0.770,21.621,25.750,0.730,0.810,21.561,61.140,19.681,6.660,92.481
6461,1,0,200.722,231.633,130.172,4.840,13.800,78.111,7.240,109.331,0.240,9.690,101.461,9.100,0.760,26.060,18.640,0.740,0.820,23.371,59.671,21.640,9.460,92.531
6462,1,0,201.872,233.202,132.911,4.860,14.120,81.051,7.150,107.401,0.250,9.440,100.291,8.970,0.800,24.350,22.081,0.710,0.821,25.720,56.821,23.990,7.160,92.512
6463,1,0,201.092,232.423,130.251,4.851,14.180,79.051,7.270,108.511,0.250,10.140,102.172,10.750,0.750,22.370,23.120,0.730,0.800,21.800,60.161,20.070,6.700,92.501
6464,1,0,198.392,232.983,134.171,4.850,17.280,80.011,7.210,104.631,0.430,9.690,98.812,9.150,0.790,29.270,21.010,0.710,0.840,22.900,56.971,21.220,6.580,92.501
6465,1,0,318.594,351.014,131.311,4.870,14.990,79.911,7.190,224.793,0.260,10.231,219.703,9.170,0.900,24.510,22.360,0.720,0.840,22.190,178.023,20.270,7.740,92.501
6466,1,0,414.395,446.185,225.942,4.860,14.250,47.441,6.350,354.964,0.260,13.180,220.243,12.610,0.860,70.841,5.060,31.420,0.740,80.651,245.153,78.711,6.750,92.481
6467,1,0,349.495,381.575,163.912,4.910,14.650,46.841,6.350,290.574,0.260,12.220,217.663,9.940,0.860,70.781,4.880,30.420,0.730,23.410,241.433,21.530,6.530,92.511
6468,1,0,353.634,386.374,166.131,4.870,14.370,46.741,6.340,294.833,0.490,12.530,220.243,10.600,0.780,69.971,4.970,30.600,0.780,23.880,244.193,22.190,6.601,92.481
6469,1,0,330.484,363.894,141.152,4.860,15.440,87.941,7.140,228.853,0.250,14.120,222.742,10.200,0.750,24.820,23.141,0.710,0.810,22.911,178.062,21.101,6.250,92.522
6470,1,0,256.333,288.594,136.232,4.880,14.611,86.291,7.270,156.552,0.250,10.620,152.362,10.080,0.750,23.251,25.170,0.720,0.840,21.830,106.831,20.050,6.530,92.501
6471,1,0,315.564,347.114,131.352,4.840,14.010,79.191,7.090,223.173,0.250,10.330,215.762,9.170,0.780,22.440,22.981,0.700,0.820,22.151,174.302,20.351,6.320,92.501
6472,1,0,313.974,345.515,130.402,4.851,14.140,80.771,7.100,219.963,0.250,9.900,215.113,9.380,0.820,22.050,24.850,0.710,0.830,21.570,173.352,19.670,6.310,92.511
6473,1,0,238.193,270.963,166.312,4.860,15.070,48.551,6.470,177.252,0.240,12.480,104.651,10.110,0.780,71.061,4.960,29.110,0.720,23.071,126.951,21.291,6.560,92.531
6474,1,0,208.512,241.423,136.201,4.870,14.810,89.061,7.500,105.691,0.250,11.600,105.222,10.400,0.830,23.180,25.190,0.700,0.800,21.620,57.681,19.730,6.110,92.491
6475,1,0,246.683,278.834,132.652,4.880,14.851,81.761,7.160,151.142,0.240,10.190,146.182,9.810,0.780,23.270,24.880,0.710,0.830,21.910,103.621,20.080,7.970,92.511
6476,1,0,242.143,273.384,130.112,4.860,13.780,78.701,7.040,150.332,0.240,10.090,143.272,10.090,0.790,22.300,22.950,0.650,0.820,20.820,101.951,19.090,6.470,101.071
6477,1,0,241.053,272.503,128.212,4.860,14.270,79.611,7.290,148.002,0.250,9.850,144.291,9.390,0.720,22.180,23.051,0.710,0.800,21.811,101.101,19.991,6.301,92.501
6478,1,0,256.953,289.144,137.992,4.840,14.461,84.011,7.500,159.302,0.550,11.060,151.152,10.471,1.001,25.000,22.460,0.740,0.820,24.940,107.351,23.110,6.210,92.511
6479,1,0,254.073,286.133,134.661,4.850,14.680,83.821,7.150,157.002,0.230,10.121,151.472,9.630,0.750,25.270,22.840,0.730,0.820,23.920,107.732,22.040,7.040,92.511
6480,1,0,244.463,276.033,130.491,4.840,14.160,80.621,7.130,150.572,0.240,9.911,145.542,9.860,0.780,21.960,24.900,0.690,0.820,20.970,103.932,19.140,6.700,92.541
6481,1,0,245.013,276.573,131.272,4.860,14.180,81.741,7.170,149.732,0.240,10.250,145.301,9.500,0.760,24.190,22.991,0.710,0.800,22.081,102.611,20.181,6.690,92.521
6482,1,0,249.033,280.424,131.802,4.851,14.160,79.911,7.230,156.002,0.240,9.880,148.622,10.001,0.810,24.570,22.180,0.690,0.820,22.920,107.461,21.110,6.610,92.511
6483,3,0,276.573,309.154,136.752,4.880,14.930,82.191,7.150,180.912,0.250,11.800,172.402,9.850,0.800,23.880,22.640,0.730,0.840,23.681,129.742,21.860,6.300,92.511
6484,1,0,263.953,296.584,139.262,4.870,14.901,86.431,7.160,163.202,0.230,11.670,157.322,10.861,0.890,22.660,26.240,0.670,0.870,21.700,112.681,19.860,6.780,92.511
6485,1,0,250.723,284.243,137.131,4.890,15.500,87.491,7.460,149.212,0.250,10.910,147.112,9.940,0.880,23.510,25.960,0.740,0.930,22.931,100.701,21.151,6.280,92.522
6486,1,0,246.673,277.623,132.661,4.850,13.780,85.011,7.381,148.011,0.230,10.160,144.962,10.040,0.790,22.971,26.170,0.710,0.910,21.210,100.921,19.480,6.190,92.491
6487,2,0,254.834,286.194,129.042,4.850,14.120,80.511,6.980,161.112,0.260,10.370,157.152,9.340,0.800,22.551,23.410,0.680,0.810,21.470,114.731,19.740,6.830,92.511
6488,1,0,252.273,285.534,138.682,4.850,15.371,86.071,7.040,152.702,0.240,11.290,146.852,10.320,0.870,23.331,26.910,0.720,0.820,22.820,103.811,20.970,6.550,92.501
6489,1,0,256.323,289.063,137.702,4.890,15.070,85.231,7.350,157.282,0.240,11.680,151.361,10.010,0.720,25.850,22.171,0.720,0.810,24.351,106.992,22.420,6.601,92.491
6490,1,0,251.013,283.083,133.411,4.870,14.630,82.741,7.370,154.492,0.240,10.730,149.672,10.160,0.770,24.840,22.101,0.700,0.920,22.540,105.952,20.700,10.411,92.501
6491,5,0,322.104,356.634,144.852,5.200,16.540,93.301,7.060,214.343,0.310,14.031,211.782,10.080,0.880,26.580,26.610,0.720,0.990,22.381,165.243,20.590,9.440,92.501
6492,1,0,200.872,232.163,131.661,4.881,13.980,83.091,7.190,104.501,0.300,10.420,100.502,10.040,0.750,22.740,24.750,0.710,0.840,21.310,57.401,19.450,6.870,92.551
6493,1,0,200.982,232.782,132.130,4.890,14.150,81.051,7.090,106.911,0.240,10.450,100.652,9.200,0.780,22.630,23.280,0.720,0.840,23.360,58.271,21.480,6.490,92.502
6494,6,0,313.324,344.804,129.552,4.850,14.070,80.871,7.150,219.293,0.250,10.530,215.252,9.930,0.760,22.110,23.461,0.690,0.820,21.031,172.742,19.171,6.650,92.491
6495,7,0,331.844,364.534,135.001,4.830,15.140,83.481,7.120,234.723,0.250,11.340,229.533,10.550,0.890,23.210,23.951,0.710,0.840,22.420,185.783,20.590,6.200,92.511
6496,2,0,256.184,287.524,129.732,4.860,14.120,81.761,7.251,161.232,0.240,10.080,157.792,9.850,0.770,24.121,22.340,0.730,0.800,20.970,114.591,19.110,6.340,92.521
