monotonic_time_ns,ros_time_sec,ros_time_nsec,cpu_short_window_percent,gpu_percent
1970673859390,1779177994,208741946,39.394,0.000
1970693869368,1779177994,228752244,40.619,39.000
1970713865042,1779177994,248743246,42.905,39.000
1970733916013,1779177994,268798249,41.571,39.000
1970753861830,1779177994,288744002,38.119,39.000
1970773860704,1779177994,308743228,36.119,0.000
1970793862010,1779177994,328744630,37.071,0.000
1970813866484,1779177994,348749616,36.786,24.000
1970833858734,1779177994,368740970,36.119,24.000
1970853870249,1779177994,388753765,39.571,38.000
1970873861922,1779177994,408744127,41.169,38.000
1970893866045,1779177994,428748953,42.305,0.000
1970913857943,1779177994,448736627,40.682,0.000
1970933870225,1779177994,468752941,40.942,0.000
1970953860075,1779177994,488742279,42.036,0.000
1970973866789,1779177994,508749953,42.321,38.000
1970993859615,1779177994,528741947,39.405,38.000
1971013862041,1779177994,548745301,39.113,38.000
1971033862291,1779177994,568744399,40.571,38.000
1971053864269,1779177994,588747529,40.260,0.000
1971073865511,1779177994,608748419,40.260,0.000
1971093863873,1779177994,628746749,39.351,25.000
1971113859419,1779177994,648737847,40.167,25.000
1971133864118,1779177994,668746130,40.881,39.000
1971153865264,1779177994,688748076,39.381,39.000
1971173866090,1779177994,708748934,39.667,25.000
1971193867108,1779177994,728749536,39.619,25.000
1971213865342,1779177994,748748026,39.913,0.000
1971233859896,1779177994,768742420,41.643,0.000
1971253864818,1779177994,788747918,39.675,39.000
1971273861324,1779177994,808743848,40.173,39.000
1971293864134,1779177994,828747298,40.173,0.000
1971313860256,1779177994,848741980,37.186,0.000
1971333873658,1779177994,868756406,37.576,0.000
1971353860468,1779177994,888743312,38.225,0.000
1971373864046,1779177994,908746986,39.381,39.000
1971393863688,1779177994,928746469,43.907,39.000
1971413864483,1779177994,948746975,46.298,40.000
1971433863101,1779177994,968745305,42.583,40.000
1971453863639,1779177994,988746323,41.917,31.000
1971473869553,1779177995,8752813,40.379,31.000
1971493862603,1779177995,28745575,37.167,39.000
1971513863909,1779177995,48742177,33.167,39.000
1971533862527,1779177995,68745083,35.909,6.000
1971553864121,1779177995,88746773,37.684,6.000
1971573864787,1779177995,108748047,38.119,0.000
1971593861069,1779177995,128743561,37.641,0.000
1971613864679,1779177995,148747811,37.944,39.000
1971633862145,1779177995,168744477,40.738,39.000
1971653866427,1779177995,188749527,42.229,40.000
1971673861589,1779177995,208744049,42.078,40.000
1971694065361,1779177995,228948173,39.091,0.000
1971713864457,1779177995,248742437,39.667,0.000
1971733868131,1779177995,268751327,40.000,0.000
1971753865436,1779177995,288747129,39.957,0.000
1971773863894,1779177995,308747155,37.452,0.000
1971793862992,1779177995,328751821,38.452,0.000
1971813863018,1779177995,348745862,40.167,5.000
1971833864132,1779177995,368746304,41.548,5.000
1971853897087,1779177995,388780667,40.541,39.000
1971873864440,1779177995,408746836,38.420,39.000
1971893890003,1779177995,428773167,41.602,0.000
1971913858924,1779177995,448736936,44.978,0.000
1971933866374,1779177995,468749762,42.771,0.000
1971953862816,1779177995,488745116,44.714,0.000
1971973862938,1779177995,508746134,47.048,40.000
1971993860980,1779177995,528743568,46.407,40.000
1972014011952,1779177995,548895884,42.619,39.000
1972033892744,1779177995,568775333,43.417,39.000
1972053862114,1779177995,588744734,40.379,25.000
1972073865180,1779177995,608747768,38.083,25.000
1972093868822,1779177995,628751890,37.083,7.000
1972113864688,1779177995,648742732,38.250,7.000
1972133862314,1779177995,668744998,37.695,38.000
1972153867684,1779177995,688750560,39.500,38.000
1972173861726,1779177995,708745146,38.896,14.000
1972193846840,1779177995,728729140,40.563,14.000
1972213956691,1779177995,748839791,38.745,39.000
1972233903788,1779177995,768853737,38.238,39.000
1972253864038,1779177995,788747074,38.398,40.000
1972273928225,1779177995,808810973,36.952,40.000
1972293863738,1779177995,828746742,38.452,0.000
1972313865460,1779177995,848747184,36.775,0.000
1972333863470,1779177995,868745994,38.333,39.000
1972353859816,1779177995,888742116,40.381,39.000
1972373867682,1779177995,908750846,37.619,38.000
1972393858236,1779177995,928741048,35.649,38.000
1972413867126,1779177995,948749970,42.131,39.000
1972433861040,1779177995,968744012,43.712,39.000
1972453865866,1779177995,988749670,42.154,38.000
1972473863076,1779177996,8745440,48.036,38.000
1972493862590,1779177996,28745690,52.488,40.000
1972513863607,1779177996,48741939,50.216,40.000
1972533861553,1779177996,68744717,45.786,13.000
1972553839595,1779177996,88721543,46.786,13.000
1972573862437,1779177996,108745473,43.442,40.000
1972593862559,1779177996,128745307,40.108,40.000
1972613865593,1779177996,148748757,40.758,39.000
1972633858771,1779177996,168741647,38.939,39.000
1972653864109,1779177996,188747529,38.939,40.000
1972673892071,1779177996,208774851,42.548,40.000
1972693867840,1779177996,228750940,42.833,0.000
1972713864666,1779177996,248742838,42.576,0.000
1972733866548,1779177996,268749968,43.833,40.000
1972753858510,1779177996,288741738,42.879,40.000
1972773863368,1779177996,308746500,46.017,39.000
1972793864738,1779177996,328747102,45.619,39.000
1972813891068,1779177996,348774648,42.452,14.000
1972833859894,1779177996,368742450,43.405,14.000
1972853863183,1779177996,388746060,43.405,38.000
1972873866825,1779177996,408749093,41.452,38.000
1972893868003,1779177996,428750847,39.805,13.000
1972913862013,1779177996,448740313,40.411,13.000
1972933861751,1779177996,468744691,43.333,0.000
1972953862929,1779177996,488744941,43.905,0.000
1972973866667,1779177996,508750023,44.238,38.000
1972993983078,1779177996,528865442,44.156,38.000
1973013864030,1779177996,548746683,47.905,39.000
1973033866584,1779177996,568749332,47.238,39.000
1973053867282,1779177996,588750510,46.840,38.000
1973073862572,1779177996,608745032,45.238,38.000
1973093877350,1779177996,628760962,47.905,0.000
1973113859232,1779177996,648737564,47.868,0.000
1973133863162,1779177996,668746422,46.959,38.000
1973153862516,1779177996,688745104,45.417,38.000
1973173864590,1779177996,708748010,48.083,0.000
1973193863527,1779177996,728746308,44.621,0.000
1973213865153,1779177996,748748285,41.333,38.000
1973233853819,1779177996,768736503,40.667,38.000
1973253862837,1779177996,788746129,41.742,38.000
1973273854063,1779177996,808736907,45.726,38.000
1973293862505,1779177996,828745221,49.393,0.000
1973313857923,1779177996,848739871,53.536,0.000
