wall_time_ns,scan_stamp_ns,scan_stamp_to_scan_ms,amcl_particle_count,scan_to_amcl_ms,amcl_to_ekf_ms,scan_to_ekf_ms,ekf_to_drive_ms,drive_to_ackermann_ms,scan_to_ackermann_ms
1779177898703258100,1779177898694785427,0.223,2000,2.759,3.871,6.630,1.441,0.171,8.243
1779177898753609717,1779177898744809936,0.209,2000,2.580,3.983,6.563,1.753,0.268,8.584
1779177898803813109,1779177898794789518,0.296,2000,2.354,4.145,6.500,1.367,0.853,8.719
1779177898853643281,1779177898844790603,0.742,2000,2.220,4.607,6.827,1.142,0.135,8.104
1779177898899958116,1779177898894787720,0.506,2000,2.299,0.047,2.345,1.296,1.015,4.657
1779177898952713409,1779177898944796198,0.294,2000,2.692,3.684,6.376,1.220,0.023,7.618
1779177899002703614,1779177898994786755,0.902,2000,2.707,2.989,5.697,1.068,0.243,7.008
1779177899052868541,1779177899044807105,0.675,2000,2.346,3.850,6.196,1.022,0.161,7.380
1779177899103706884,1779177899094815294,0.333,2000,3.140,4.327,7.467,0.913,0.171,8.551
1779177899152949592,1779177899144798203,0.218,2000,2.670,3.983,6.653,1.103,0.171,7.927
1779177899201412900,1779177899194783448,0.556,2000,3.651,0.048,3.699,0.719,1.646,6.064
1779177899253589914,1779177899244761141,0.330,2000,5.308,1.590,6.898,1.308,0.286,8.492
1779177899299340614,1779177899294806962,0.236,2000,3.076,0.056,3.131,0.975,0.185,4.291
1779177899322836115,1779177899314770007,0.263,2000,2.479,4.079,6.558,1.069,0.169,7.796
1779177899353875863,1779177899344810287,0.326,2000,2.647,4.007,6.654,1.800,0.278,8.732
1779177899374588229,1779177899364933462,0.995,2000,1.926,5.317,7.244,1.182,0.227,8.653
1779177899404750494,1779177899394795596,0.913,2000,2.035,4.748,6.783,1.980,0.272,9.035
1779177899423383796,1779177899414742897,0.279,2000,2.833,4.226,7.059,1.132,0.165,8.356
1779177899453775088,1779177899444759401,0.253,2000,2.348,4.495,6.843,1.454,0.457,8.754
1779177899469031327,1779177899464809935,0.209,2000,2.773,0.046,2.819,0.963,0.224,4.006
1779177899503107974,1779177899494807175,0.239,2000,2.701,3.958,6.659,1.222,0.174,8.055
1779177899524137719,1779177899514807468,0.223,2000,2.664,1.950,4.614,4.214,0.272,9.100
1779177899548854098,1779177899544794820,0.218,2000,2.705,0.046,2.751,0.962,0.122,3.835
1779177899573299370,1779177899564808041,0.270,2000,2.734,4.154,6.888,1.220,0.107,8.216
1779177899603487492,1779177899594826721,0.236,2000,2.544,3.912,6.455,1.724,0.239,8.418
1779177899618829588,1779177899614787942,0.222,2000,2.836,0.069,2.905,0.771,0.138,3.814
1779177899653530786,1779177899644801822,0.187,2000,2.392,4.220,6.612,1.019,0.903,8.534
1779177899668845489,1779177899664783075,0.218,2000,2.563,0.045,2.607,0.943,0.287,3.838
1779177899699539057,1779177899694783547,0.644,2000,1.980,0.527,2.508,1.578,0.021,4.107
1779177899733592856,1779177899724805107,0.219,2000,2.873,4.133,7.005,1.250,0.307,8.562
1779177899753145240,1779177899744811192,0.590,2000,3.547,2.629,6.175,1.277,0.285,7.737
1779177899782728843,1779177899774787920,0.260,2000,2.337,4.099,6.437,1.088,0.150,7.674
