monotonic_time_ns,ros_time_sec,ros_time_nsec,gpu_percent
1903933868394,1779177927,468751590,39.000
1903953832651,1779177927,488714759,39.000
1903973866637,1779177927,508748969,39.000
1903993839022,1779177927,528720906,39.000
1904013835151,1779177927,548717995,0.000
1904033875089,1779177927,568756973,0.000
1904053864307,1779177927,588753007,7.000
1904073815796,1779177927,608696976,7.000
1904093835989,1779177927,628718161,40.000
1904113829335,1779177927,648708659,40.000
1904133860793,1779177927,668743093,7.000
1904153837498,1779177927,688718838,7.000
1904173860604,1779177927,708743448,39.000
1904193832029,1779177927,728713817,39.000
1904213858431,1779177927,748741051,39.000
1904233858464,1779177927,768739740,39.000
1904253839841,1779177927,788721917,0.000
1904273832067,1779177927,808713727,0.000
1904293836100,1779177927,828718400,39.000
1904313836838,1779177927,848718338,39.000
1904333859592,1779177927,868741604,39.000
1904353935114,1779177927,888817350,39.000
1904373861963,1779177927,908744487,39.000
1904393857356,1779177927,928738600,39.000
1904413860174,1779177927,948742378,25.000
1904433810415,1779177927,968691979,25.000
1904453842801,1779177927,988725293,40.000
1904476048779,1779177928,10930247,13.000
1904493842931,1779177928,28725519,13.000
1904513852117,1779177928,48732049,13.000
1904533862902,1779177928,68745682,40.000
1904553860664,1779177928,88742228,40.000
1904573841433,1779177928,108723157,39.000
1904593856602,1779177928,128738743,39.000
1904613841628,1779177928,148724792,40.000
1904633856477,1779177928,168738521,40.000
1904653860863,1779177928,188743579,39.000
1904674162595,1779177928,209044831,25.000
1904693860897,1779177928,228743645,25.000
1904713862051,1779177928,248742015,25.000
1904733895301,1779177928,268778209,39.000
1904753840549,1779177928,288722369,39.000
1904773859367,1779177928,308741635,14.000
1904793857128,1779177928,328738884,14.000
1904813860042,1779177928,348742662,39.000
1904833824971,1779177928,368706695,39.000
1904853864748,1779177928,388747049,39.000
1904873860494,1779177928,408742602,39.000
1904893862511,1779177928,428745483,39.000
1904913861393,1779177928,448741293,39.000
1904933886226,1779177928,468769038,0.000
1904953857235,1779177928,488739471,0.000
1904973862677,1779177928,508745681,39.000
1904993857782,1779177928,528739378,39.000
1905013862712,1779177928,548745908,38.000
1905033834073,1779177928,568715637,38.000
1905053860410,1779177928,588742454,4.000
1905073858460,1779177928,608740248,4.000
1905093847645,1779177928,628729305,48.000
1905113839806,1779177928,648719738,48.000
1905133859712,1779177928,668742076,0.000
1905153825185,1779177928,688711421,0.000
1905173860803,1779177928,708742559,0.000
1905193856804,1779177928,728738528,0.000
1905213874469,1779177928,748756706,39.000
1905233857991,1779177928,768740003,39.000
1905253849640,1779177928,788731716,38.000
1905273847177,1779177928,808728773,38.000
1905293850859,1779177928,828733319,0.000
1905313845484,1779177928,848727432,0.000
1905333863630,1779177928,868746026,7.000
1905353857263,1779177928,888738699,7.000
1905373857328,1779177928,908740012,38.000
1905393864754,1779177928,928746990,38.000
1905413861139,1779177928,948743759,7.000
1905433843860,1779177928,968725744,7.000
1905453949239,1779177928,988831731,39.000
1905473846775,1779177929,8728403,39.000
1905493851832,1779177929,28734420,25.000
1905513832761,1779177929,48711893,25.000
1905533866811,1779177929,68749719,39.000
1905553832924,1779177929,88714744,39.000
1905573867998,1779177929,108751130,40.000
1905593866655,1779177929,128748347,40.000
1905613860576,1779177929,148742876,39.000
1905633860289,1779177929,168741949,39.000
1905653862499,1779177929,188745375,38.000
1905673857252,1779177929,208739040,38.000
1905693861093,1779177929,228744353,25.000
1905713861158,1779177929,248740898,25.000
1905733865256,1779177929,268747780,38.000
1905753845865,1779177929,288727973,38.000
1905773862122,1779177929,308744614,14.000
1905793849835,1779177929,328731431,14.000
1905813860045,1779177929,348743049,38.000
1905833857486,1779177929,368739306,38.000
1905853867919,1779177929,388751147,38.000
1905873839760,1779177929,408721644,38.000
1905893860498,1779177929,428743214,38.000
1905913863827,1779177929,448743567,38.000
1905933859668,1779177929,468742608,0.000
1905953857013,1779177929,488738961,0.000
1905973862999,1779177929,508746195,39.000
1905993847768,1779177929,528729652,39.000
1906013861113,1779177929,548743253,38.000
1906033901691,1779177929,568783511,38.000
1906053860604,1779177929,588743608,13.000
1906073835517,1779177929,608721273,13.000
1906093858174,1779177929,628739866,38.000
1906113833503,1779177929,648712955,38.000
1906133864129,1779177929,668747325,13.000
1906153822370,1779177929,688704862,13.000
1906173863139,1779177929,708746335,0.000
1906193856836,1779177929,728739521,0.000
1906213864806,1779177929,748748162,38.000
1906233856679,1779177929,768738883,38.000
1906253863336,1779177929,788746532,38.000
1906277187311,1779177929,812070027,0.000
