wall_time_ns,scan_stamp_ns,scan_stamp_to_scan_ms,amcl_particle_count,scan_to_amcl_ms,amcl_to_ekf_ms,scan_to_ekf_ms,ekf_to_drive_ms,drive_to_ackermann_ms,scan_to_ackermann_ms
1779177355895566214,1779177355890366181,0.677,2000,1.920,0.869,2.790,1.680,0.048,4.518
1779177355945275990,1779177355940356348,0.238,2000,2.307,0.904,3.211,1.421,0.044,4.676
1779177355995777145,1779177355990375315,0.369,2000,2.646,0.553,3.198,1.751,0.077,5.026
1779177356045733260,1779177356040374536,0.721,2000,2.026,1.013,3.039,1.392,0.199,4.630
1779177356095391608,1779177356090371836,0.490,2000,2.457,0.433,2.890,1.614,0.020,4.524
1779177356145468718,1779177356140420433,0.258,2000,2.516,0.763,3.279,1.316,0.188,4.784
1779177356195328126,1779177356190371171,0.984,2000,1.669,0.846,2.516,1.255,0.196,3.966
1779177356245514743,1779177356240364247,0.251,2000,2.706,0.694,3.400,1.392,0.100,4.892
1779177356266199958,1779177356260387046,0.576,2000,2.126,0.901,3.027,1.414,0.789,5.229
1779177356295674990,1779177356290369259,0.611,2000,2.288,0.827,3.115,1.454,0.120,4.688
1779177356315260883,1779177356310356185,0.497,2000,2.285,0.627,2.912,1.355,0.133,4.400
1779177356347218569,1779177356340440481,0.257,2000,2.971,0.608,3.579,2.454,0.481,6.514
1779177356365164068,1779177356360376110,0.173,2000,3.318,0.046,3.363,1.070,0.176,4.609
1779177356395667830,1779177356390357459,0.400,2000,2.465,1.735,4.199,0.636,0.069,4.905
1779177356415346045,1779177356410364001,0.205,2000,2.423,1.011,3.434,1.288,0.049,4.771
1779177356445524647,1779177356440372391,0.486,2000,2.121,1.021,3.142,1.454,0.061,4.657
1779177356465621143,1779177356460355637,0.723,2000,2.447,0.604,3.051,1.340,0.144,4.535
1779177356495287285,1779177356490397884,0.301,2000,2.387,0.678,3.065,1.414,0.104,4.582
1779177356515552458,1779177356510372682,0.288,2000,2.348,0.861,3.209,1.553,0.124,4.886
1779177356545508686,1779177356540366607,0.201,2000,3.241,0.380,3.621,1.255,0.060,4.936
1779177356566051882,1779177356560362365,0.737,2000,2.134,1.198,3.332,1.202,0.411,4.945
1779177356597625814,1779177356590612009,0.775,2000,2.492,0.751,3.244,1.498,1.489,6.230
1779177356616735183,1779177356610412723,1.466,2000,1.991,0.337,2.328,1.383,1.137,4.848
1779177356645450357,1779177356640392600,0.392,2000,2.303,0.725,3.028,1.469,0.162,4.659
1779177356665430307,1779177356660393926,0.534,2000,2.152,0.990,3.142,1.162,0.192,4.496
1779177356695691887,1779177356690369067,0.187,2000,2.465,0.976,3.440,1.460,0.228,5.128
1779177356717348646,1779177356710443483,0.253,2000,2.437,2.287,4.724,1.790,0.132,6.646
1779177356745807845,1779177356740574468,0.278,2000,2.830,0.514,3.344,1.506,0.099,4.949
1779177356765561166,1779177356760433007,0.406,2000,2.918,0.291,3.208,1.237,0.270,4.715
1779177356795649941,1779177356790369235,0.208,2000,2.396,1.064,3.460,1.414,0.192,5.065
1779177356815722374,1779177356810377377,0.284,2000,2.385,0.964,3.349,1.401,0.304,5.053
1779177356845475653,1779177356840360199,0.249,2000,2.654,0.649,3.303,1.409,0.148,4.860
1779177356875632431,1779177356870364716,0.295,2000,2.886,0.413,3.299,1.534,0.133,4.966
1779177356895611100,1779177356890410396,0.211,2000,2.450,0.861,3.311,1.541,0.130,4.982
1779177356929550723,1779177356920367360,0.308,2000,2.445,0.647,3.092,5.660,0.117,8.869
1779177356945583344,1779177356940379183,0.167,2000,2.661,0.644,3.305,1.706,0.021,5.032
1779177356975342255,1779177356970398677,0.270,2000,3.005,0.237,3.242,1.403,0.023,4.668
1779177356995575875,1779177356990445893,0.520,2000,2.158,0.702,2.861,1.344,0.398,4.603
1779177357026417820,1779177357016363396,0.298,2000,4.397,2.983,7.380,1.687,0.681,9.748
1779177357045668503,1779177357040357588,0.215,2000,2.832,0.868,3.700,1.368,0.022,5.091
1779177357071955167,1779177357067548371,0.652,2000,2.146,0.070,2.216,1.352,0.180,3.748
1779177357095995536,1779177357090386694,0.276,2000,3.635,0.490,4.125,1.059,0.142,5.326
1779177357120388202,1779177357113769607,0.268,2000,3.358,1.477,4.835,1.318,0.191,6.344
