monotonic_time_ns,ros_time_sec,ros_time_nsec,cpu_core_0_percent,cpu_core_1_percent,cpu_core_2_percent,cpu_core_3_percent,cpu_core_4_percent,cpu_core_5_percent
1434583273592,1779177458,118156084,50.000,100.000,100.000,0.000,0.000,50.000
1434603226083,1779177458,138107551,100.000,50.000,50.000,0.000,0.000,0.000
1434623275535,1779177458,158157323,0.000,0.000,100.000,0.000,0.000,0.000
1434643232601,1779177458,178114229,50.000,0.000,50.000,0.000,50.000,0.000
1434663229316,1779177458,198111553,0.000,0.000,50.000,0.000,0.000,100.000
1434683232944,1779177458,218114732,0.000,50.000,50.000,100.000,0.000,100.000
1434703234171,1779177458,238116471,50.000,0.000,0.000,0.000,66.667,50.000
1434723205222,1779177458,258087298,0.000,0.000,0.000,0.000,0.000,100.000
1434743232754,1779177458,278114958,50.000,0.000,50.000,0.000,0.000,50.000
1434763230269,1779177458,298111673,50.000,0.000,0.000,50.000,0.000,100.000
1434783231784,1779177458,318113892,100.000,0.000,100.000,50.000,0.000,50.000
1434803232371,1779177458,338113808,0.000,0.000,100.000,0.000,50.000,0.000
1434823232671,1779177458,358114811,0.000,0.000,100.000,0.000,50.000,50.000
1434843231914,1779177458,378113574,0.000,0.000,50.000,0.000,0.000,0.000
1434863230005,1779177458,398112113,50.000,0.000,50.000,0.000,50.000,0.000
1434883231649,1779177458,418113789,100.000,50.000,0.000,0.000,0.000,50.000
1434903839704,1779177458,438722036,0.000,0.000,50.000,0.000,0.000,0.000
1434923228983,1779177458,458111315,0.000,100.000,100.000,50.000,50.000,0.000
1434943470215,1779177458,478353155,0.000,0.000,50.000,50.000,0.000,0.000
1434963235246,1779177458,498116586,100.000,100.000,50.000,0.000,0.000,0.000
1434983230969,1779177458,518112821,0.000,0.000,50.000,100.000,50.000,0.000
1435003227140,1779177458,538108512,0.000,50.000,50.000,0.000,0.000,0.000
1435023231951,1779177458,558113900,100.000,0.000,0.000,50.000,0.000,50.000
1435043255611,1779177458,578137303,0.000,0.000,50.000,0.000,50.000,0.000
1435063234566,1779177458,598116642,50.000,50.000,50.000,100.000,100.000,100.000
1435083198321,1779177458,618080109,0.000,0.000,100.000,0.000,0.000,0.000
1435103230813,1779177458,638112793,0.000,0.000,50.000,0.000,0.000,100.000
1435123232232,1779177458,658113636,0.000,50.000,100.000,0.000,0.000,0.000
1435143238803,1779177458,678120943,50.000,0.000,0.000,0.000,50.000,50.000
1435163236574,1779177458,698118491,0.000,50.000,100.000,100.000,0.000,0.000
1435183239210,1779177458,718121382,50.000,0.000,50.000,0.000,0.000,0.000
1435203336919,1779177458,738218771,0.000,100.000,50.000,0.000,0.000,50.000
1435223234624,1779177458,758116924,100.000,100.000,100.000,0.000,0.000,0.000
1435243232748,1779177458,778114824,100.000,66.667,100.000,0.000,0.000,100.000
1435263231415,1779177458,798113395,100.000,0.000,50.000,0.000,0.000,0.000
1435283232258,1779177458,818114558,0.000,0.000,50.000,0.000,100.000,0.000
1435303237549,1779177458,838119658,66.667,0.000,50.000,0.000,50.000,0.000
1435323232473,1779177458,858114485,0.000,50.000,50.000,0.000,50.000,0.000
1435343231716,1779177458,878113504,50.000,0.000,100.000,0.000,0.000,0.000
1435363228175,1779177458,898109579,50.000,0.000,100.000,0.000,0.000,0.000
1435383229594,1779177458,918111927,0.000,0.000,100.000,0.000,0.000,0.000
1435403227334,1779177458,938109346,0.000,50.000,100.000,0.000,0.000,50.000
1435423232113,1779177458,958114669,0.000,50.000,100.000,50.000,100.000,100.000
1435443232860,1779177458,978114552,0.000,0.000,0.000,0.000,0.000,0.000
1435463234632,1779177458,998116580,100.000,0.000,50.000,0.000,0.000,0.000
1435483232658,1779177459,18114574,100.000,0.000,50.000,0.000,0.000,0.000
1435503231997,1779177459,38114105,100.000,66.667,100.000,0.000,50.000,50.000
1435523234279,1779177459,58116163,50.000,0.000,100.000,0.000,50.000,66.667
1435543236370,1779177459,78118990,0.000,0.000,50.000,50.000,66.667,50.000
1435563230460,1779177459,98112504,0.000,0.000,100.000,100.000,100.000,0.000
1435583230759,1779177459,118112835,0.000,0.000,100.000,0.000,0.000,50.000
1435603231473,1779177459,138113933,50.000,50.000,0.000,66.667,50.000,0.000
1435623235964,1779177459,158117976,50.000,0.000,0.000,0.000,0.000,0.000
1435643229030,1779177459,178111714,0.000,100.000,100.000,50.000,0.000,0.000
1435663231665,1779177459,198114093,50.000,50.000,100.000,0.000,50.000,0.000
1435683231899,1779177459,218114263,100.000,0.000,50.000,0.000,100.000,0.000
1435703232070,1779177459,238114690,100.000,100.000,0.000,50.000,0.000,0.000
1435723232752,1779177459,258114764,0.000,0.000,100.000,0.000,50.000,50.000
1435743228762,1779177459,278111191,50.000,50.000,100.000,100.000,100.000,0.000
1435763231173,1779177459,298113441,50.000,0.000,100.000,0.000,0.000,50.000
1435783229167,1779177459,318111084,0.000,66.667,0.000,0.000,0.000,0.000
1435803227738,1779177459,338109878,0.000,0.000,100.000,50.000,0.000,0.000
1435823231909,1779177459,358113345,0.000,0.000,50.000,0.000,100.000,100.000
1435843230831,1779177459,378113355,50.000,0.000,100.000,50.000,0.000,0.000
1435863231673,1779177459,398114070,0.000,50.000,50.000,0.000,0.000,50.000
1435883231332,1779177459,418113632,100.000,50.000,100.000,100.000,0.000,0.000
1435903240271,1779177459,438122475,50.000,0.000,100.000,100.000,50.000,0.000
1435923236697,1779177459,458118805,50.000,0.000,50.000,100.000,50.000,50.000
1435943236740,1779177459,478118560,0.000,0.000,50.000,50.000,0.000,50.000
1435963233454,1779177459,498115402,0.000,100.000,100.000,0.000,0.000,0.000
1435983231608,1779177459,518113365,0.000,100.000,100.000,100.000,0.000,0.000
1436003235171,1779177459,538117023,0.000,0.000,0.000,0.000,0.000,0.000
