monotonic_time_ns,ros_time_sec,ros_time_nsec,cpu_short_window_percent,gpu_percent
1348943223934,1779177372,478105530,41.396,25.000
1348963254395,1779177372,498135479,39.578,25.000
1348983224406,1779177372,518106067,40.869,39.000
1349003225587,1779177372,538107311,39.232,39.000
1349023233007,1779177372,558114571,40.444,0.000
1349043232363,1779177372,578114023,35.974,0.000
1349063230279,1779177372,598111683,35.758,0.000
1349083228515,1779177372,618110207,35.333,0.000
1349103225951,1779177372,638106939,39.524,0.000
1349123257756,1779177372,658139160,38.976,0.000
1349143225623,1779177372,678107219,39.329,40.000
1349163242388,1779177372,698123376,38.983,40.000
1349183227696,1779177372,718108876,39.848,0.000
1349203258316,1779177372,738139561,37.810,0.000
1349223233544,1779177372,758114884,36.024,40.000
1349243253796,1779177372,778134881,34.048,40.000
1349263227936,1779177372,798109788,35.833,39.000
1349283263229,1779177372,818144345,36.212,39.000
1349303230616,1779177372,838111892,38.833,6.000
1349323230260,1779177372,858111792,42.298,6.000
1349343228304,1779177372,878109741,42.298,39.000
1349363274606,1779177372,898156106,40.250,39.000
1349383229801,1779177372,918111525,39.583,39.000
1349403202788,1779177372,938084480,38.631,39.000
1349423225089,1779177372,958106301,38.950,0.000
1349443258782,1779177372,978140250,37.468,0.000
1349463228697,1779177372,998110389,41.500,39.000
1349483304022,1779177373,18182994,40.452,39.000
1349503229359,1779177373,38111019,40.671,40.000
1349523233418,1779177373,58114887,41.524,40.000
1349543242374,1779177373,78123746,40.976,39.000
1349563269761,1779177373,98151357,38.203,39.000
1349583229435,1779177373,118111063,40.249,0.000
1349603280504,1779177373,138162004,41.702,0.000
1349623230673,1779177373,158112366,42.457,39.000
1349643238093,1779177373,178119977,40.833,39.000
1349663231111,1779177373,198112964,39.917,7.000
1349683228898,1779177373,218109726,41.439,7.000
1349703228189,1779177373,238110041,40.000,39.000
1349723245209,1779177373,258127253,35.667,39.000
1349743229683,1779177373,278111631,41.111,40.000
1349763252783,1779177373,298134539,39.899,40.000
1349783226025,1779177373,318107813,38.889,0.000
1349803257765,1779177373,338139393,40.603,0.000
1349823229375,1779177373,358110939,39.942,0.000
1349843267611,1779177373,378149367,38.762,0.000
1349863229109,1779177373,398110609,40.429,39.000
1349883250129,1779177373,418129549,39.784,39.000
1349903225291,1779177373,438106983,40.714,40.000
1349923272359,1779177373,458153315,41.667,40.000
1349943230625,1779177373,478112030,39.952,25.000
1349963257213,1779177373,498138169,39.619,25.000
1349983224951,1779177373,518106643,40.571,39.000
1350003257779,1779177373,538139087,41.429,39.000
1350023231789,1779177373,558113642,39.307,18.000
1350043253769,1779177373,578135397,40.000,18.000
1350063228803,1779177373,598110623,39.048,38.000
1350083231710,1779177373,618111515,39.957,38.000
1350103229497,1779177373,638111062,38.952,39.000
1350123232212,1779177373,658113649,40.411,39.000
1350143228847,1779177373,678110732,38.738,38.000
1350163230410,1779177373,698111911,36.738,38.000
1350183230949,1779177373,718112386,34.405,0.000
1350203230400,1779177373,738111517,32.944,0.000
1350223228411,1779177373,758109687,34.452,39.000
1350243226294,1779177373,778108242,35.833,39.000
1350263225905,1779177373,798107405,32.316,38.000
1350283278798,1779177373,818160362,36.500,38.000
1350303225991,1779177373,838106467,39.714,13.000
1350323331013,1779177373,858212609,36.331,13.000
1350343280383,1779177373,878162171,37.298,38.000
1350363230328,1779177373,898111701,40.298,38.000
1350383225075,1779177373,918106831,41.829,39.000
1350403229006,1779177373,938110891,38.798,39.000
1350423225161,1779177373,958106309,36.798,0.000
1350443276998,1779177373,978158082,33.464,0.000
1350463229215,1779177373,998111164,33.464,38.000
1350483225017,1779177374,18106550,32.464,38.000
1350503225267,1779177374,38107152,37.679,38.000
1350523228557,1779177374,58110249,41.147,38.000
1350543229383,1779177374,78111555,43.041,38.000
1350563228385,1779177374,98109821,44.210,38.000
1350583229019,1779177374,118110999,41.786,0.000
1350603277302,1779177374,138158994,39.583,0.000
1350623230927,1779177374,158112875,40.260,39.000
1350643251561,1779177374,178132933,38.452,39.000
1350663194114,1779177374,198076766,37.424,39.000
1350683234877,1779177374,218115961,43.500,39.000
1350703230710,1779177374,238113043,45.227,5.000
1350723233808,1779177374,258115245,43.798,5.000
1350743230538,1779177374,278112486,43.712,39.000
1350763229604,1779177374,298110784,43.702,39.000
1350783231326,1779177374,318113018,43.366,40.000
1350803253433,1779177374,338134773,38.786,40.000
1350823225298,1779177374,358107022,39.786,39.000
1350843292365,1779177374,378173705,37.879,39.000
1350863232134,1779177374,398114082,39.167,7.000
1350883257024,1779177374,418136444,41.548,7.000
1350903225977,1779177374,438107894,44.690,39.000
1350923258036,1779177374,458139184,45.130,39.000
1350943228717,1779177374,478110697,47.208,7.000
1350963260456,1779177374,498141220,47.881,7.000
1350983226657,1779177374,518107901,46.558,40.000
1351003258876,1779177374,538140152,42.489,40.000
1351023225013,1779177374,558106449,44.535,39.000
1351043282896,1779177374,578163756,40.036,39.000
1351063232425,1779177374,598114213,40.036,0.000
1351083227843,1779177374,618109151,39.578,0.000
1351103287454,1779177374,638169082,40.917,0.000
1351123263031,1779177374,658144403,38.182,0.000
1351143229872,1779177374,678111628,41.429,40.000
1351163231178,1779177374,698112774,38.214,40.000
1351183225540,1779177374,718106976,40.500,0.000
1351203279359,1779177374,738160891,38.290,0.000
1351223265145,1779177374,758146773,41.702,39.000
1351243229906,1779177374,778111470,39.321,39.000
1351263228588,1779177374,798110536,39.643,38.000
1351283274759,1779177374,818156483,38.214,38.000
1351303231168,1779177374,838112348,40.639,13.000
1351323284283,1779177374,858165975,39.881,13.000
1351343250132,1779177374,878131696,40.942,40.000
1351363225933,1779177374,898107209,42.565,40.000
1351383227239,1779177374,918108643,43.869,39.000
1351403228545,1779177374,938110205,42.917,39.000
1351423227067,1779177374,958108983,41.583,0.000
1351443225653,1779177374,978107185,42.131,0.000
1351463225423,1779177374,998107307,40.679,39.000
1351483259272,1779177375,18139237,43.312,39.000
1351503228449,1779177375,38110365,44.827,40.000
1351523227673,1779177375,58109173,45.693,40.000
1351543237682,1779177375,78121263,44.304,39.000
1351563231371,1779177375,98112999,45.473,39.000
1351583230020,1779177375,118112064,44.008,0.000
1351603226845,1779177375,138108025,45.008,0.000
1351623226901,1779177375,158108786,47.323,38.000
1351643226574,1779177375,178108362,46.000,38.000
1351663225607,1779177375,198107171,42.833,39.000
1351683254944,1779177375,218134461,40.743,39.000
1351703226425,1779177375,238108373,38.151,33.000
1351723260210,1779177375,258141934,37.973,33.000
1351743226058,1779177375,278107526,40.700,38.000
1351763253380,1779177375,298134400,37.000,38.000
1351783228380,1779177375,318109720,38.182,0.000
1351803228597,1779177375,338109905,41.286,0.000
1351823227181,1779177375,358108522,43.571,0.000
1351843226886,1779177375,378108354,42.821,0.000
1351863226815,1779177375,398108315,42.825,38.000
1351883227352,1779177375,418109140,39.821,38.000
1351903230993,1779177375,438112685,39.774,38.000
1351923260298,1779177375,458141606,40.988,38.000
1351943224578,1779177375,478106462,40.292,39.000
1351963265276,1779177375,498146456,39.119,39.000
1351983229716,1779177375,518111440,39.459,38.000
1352003257773,1779177375,538139082,40.108,38.000
1352023227781,1779177375,558109090,41.202,38.000
1352043232990,1779177375,578114459,40.583,38.000
1352063234711,1779177375,598116883,44.917,0.000
1352083233712,1779177375,618113548,48.298,0.000
1352103229033,1779177375,638110437,53.964,31.000
1352123226753,1779177375,658108382,58.279,31.000
1352143301756,1779177375,678182968,60.190,39.000
1352163349782,1779177375,698230578,60.429,39.000
1352183228556,1779177375,718110088,60.617,53.000
1352203229253,1779177375,738110465,57.630,53.000
1352223226461,1779177375,758108314,53.250,7.000
1352243232854,1779177375,778114867,53.604,7.000
1352263226895,1779177375,798108523,46.393,40.000
1352283230024,1779177375,818111748,44.857,40.000
1352303228001,1779177375,838109149,44.726,23.000
1352323229562,1779177375,858111190,45.202,23.000
1352343211282,1779177375,878092878,44.123,39.000
1352363230827,1779177375,898112391,42.565,39.000
1352383225828,1779177375,918107552,42.565,38.000
1352403226461,1779177375,938107897,42.565,38.000
1352423227126,1779177375,958108626,43.247,38.000
1352443229518,1779177375,978110955,40.649,38.000
1352463228071,1779177375,998109571,43.333,0.000
