# x_m, y_m, w_tr_right_m, w_tr_left_m
1.501761, -0.194354, 1.3770, 1.3564
1.422263, -0.202720, 1.3787, 1.3593
1.342763, -0.211073, 1.3807, 1.3618
1.263266, -0.219457, 1.3842, 1.3637
1.183777, -0.227912, 1.3894, 1.3645
1.104299, -0.236474, 1.3961, 1.3642
1.024837, -0.245175, 1.4042, 1.3631
0.945392, -0.254040, 1.4131, 1.3617
0.865969, -0.263092, 1.4225, 1.3607
0.786569, -0.272346, 1.4322, 1.3600
0.707194, -0.281815, 1.4422, 1.3595
0.627847, -0.291507, 1.4524, 1.3587
0.548527, -0.301424, 1.4628, 1.3575
0.469235, -0.311566, 1.4731, 1.3562
0.389972, -0.321927, 1.4830, 1.3553
0.310737, -0.332500, 1.4916, 1.3552
0.231528, -0.343272, 1.4982, 1.3560
0.152345, -0.354231, 1.5021, 1.3574
0.073186, -0.365358, 1.5026, 1.3596
-0.005952, -0.376636, 1.5005, 1.3622
-0.085071, -0.388046, 1.4965, 1.3653
-0.164174, -0.399566, 1.4917, 1.3689
-0.243263, -0.411178, 1.4870, 1.3729
-0.322343, -0.422860, 1.4828, 1.3776
-0.401414, -0.434594, 1.4794, 1.3828
-0.480481, -0.446361, 1.4767, 1.3888
-0.559545, -0.458146, 1.4748, 1.3952
-0.638608, -0.469935, 1.4735, 1.4017
-0.717673, -0.481717, 1.4728, 1.4077
-0.796740, -0.493484, 1.4724, 1.4129
-0.875809, -0.505233, 1.4724, 1.4177
-0.954882, -0.516961, 1.4723, 1.4224
-1.033956, -0.528673, 1.4719, 1.4277
-1.113033, -0.540374, 1.4710, 1.4335
-1.192109, -0.552075, 1.4693, 1.4395
-1.271184, -0.563790, 1.4668, 1.4451
-1.350254, -0.575533, 1.4636, 1.4492
-1.429317, -0.587323, 1.4598, 1.4510
-1.508371, -0.599181, 1.4561, 1.4499
-1.587411, -0.611125, 1.4532, 1.4456
-1.666435, -0.623175, 1.4514, 1.4384
-1.745440, -0.635350, 1.4508, 1.4286
-1.824423, -0.647665, 1.4507, 1.4173
-1.903382, -0.660133, 1.4509, 1.4048
-1.982316, -0.672761, 1.4510, 1.3923
-2.061223, -0.685552, 1.4510, 1.3809
-2.140105, -0.698502, 1.4509, 1.3722
-2.218962, -0.711599, 1.4510, 1.3669
-2.297798, -0.724827, 1.4513, 1.3654
-2.376615, -0.738160, 1.4522, 1.3665
-2.455421, -0.751566, 1.4536, 1.3696
-2.534220, -0.765007, 1.4561, 1.3735
-2.613021, -0.778439, 1.4595, 1.3786
-2.691832, -0.791812, 1.4634, 1.3854
