x_ref_m; y_ref_m; width_left_m; width_right_m; psi_racetraj_rad; s_racetraj_m; kappa_racetraj_radpm; vx_racetraj_mps
11.1113; -3.7860; 1.1959; 1.6176; 2.6511; 33.3997; 0.0725; 2.5000
10.9370; -3.6988; 1.7989; 1.3027; 2.6911; 33.5946; 0.0336; 2.5000
10.7542; -3.6133; 1.6896; 0.9642; 2.7009; 33.7963; -0.0083; 2.5000
10.5748; -3.5279; 1.6669; 0.7331; 2.6779; 33.9951; -0.0526; 2.5000
10.4098; -3.4410; 1.6581; 0.6268; 2.6352; 34.1816; -0.0627; 2.5000
10.2599; -3.3533; 1.5645; 0.5917; 2.6056; 34.3553; -0.0186; 2.5000
10.1169; -3.2670; 1.4808; 0.5211; 2.6122; 34.5223; 0.0393; 2.5000
9.9721; -3.1849; 1.4058; 0.4769; 2.6498; 34.6887; 0.0716; 2.5000
9.8200; -3.1080; 1.3552; 0.4657; 2.6909; 34.8591; 0.0498; 2.5000
9.6618; -3.0348; 1.2739; 0.3928; 2.7166; 35.0334; 0.0244; 2.5000
9.4998; -2.9631; 1.2240; 0.3916; 2.7265; 35.2106; 0.0039; 2.5000
9.3361; -2.8912; 1.0915; 0.3798; 2.7280; 35.3894; 0.0005; 2.5000
9.1721; -2.8193; 1.0687; 0.4197; 2.7297; 35.5685; 0.0042; 2.5000
9.0093; -2.7484; 1.0862; 0.4718; 2.7341; 35.7460; 0.0084; 2.5000
8.8487; -2.6797; 0.9974; 0.5528; 2.7450; 35.9207; 0.0228; 2.5000
8.6884; -2.6141; 0.9434; 0.6072; 2.7695; 36.0939; 0.0466; 2.5000
8.5229; -2.5525; 0.9546; 0.8441; 2.8092; 36.2705; 0.0637; 2.5000
8.3464; -2.4960; 0.9319; 1.2227; 2.8570; 36.4559; 0.0643; 2.5000
8.1562; -2.4453; 0.8846; 1.3095; 2.8995; 36.6526; 0.0462; 2.5000
7.9597; -2.4005; 0.8712; 1.2933; 2.9308; 36.8542; 0.0333; 2.5000
7.7660; -2.3618; 0.8638; 1.3043; 2.9536; 37.0518; 0.0251; 2.5000
7.5834; -2.3289; 0.7634; 1.2792; 2.9683; 37.2373; 0.0135; 2.5000
7.4110; -2.2996; 0.7871; 1.3587; 2.9715; 37.4121; -0.0053; 2.5000
7.2425; -2.2704; 0.6938; 1.4156; 2.9608; 37.5832; -0.0252; 2.5000
