x_ref_m; y_ref_m; width_left_m; width_right_m; psi_racetraj_rad; s_racetraj_m
1.3663; -5.0865; 0.3997; 0.8976; 0.0000; 50.2807
1.6263; -5.1308; 0.4282; 0.8903; 0.0000; 50.5445
1.8744; -5.1591; 0.4272; 0.8641; 0.0000; 50.7942
2.1104; -5.1743; 0.5280; 0.8364; 0.0000; 51.0307
2.3383; -5.1825; 0.5241; 0.8153; 0.0000; 51.2588
2.5624; -5.1895; 0.5657; 0.8366; 0.0000; 51.4830
2.7849; -5.1978; 0.6108; 0.7769; 0.0000; 51.7057
3.0070; -5.2062; 0.6317; 0.7915; 0.0000; 51.9279
3.2296; -5.2138; 0.6617; 0.7587; 0.0000; 52.1506
3.4537; -5.2199; 0.6592; 0.7908; 0.0000; 52.3748
3.6812; -5.2257; 0.6695; 0.7809; 0.0000; 52.6024
3.9136; -5.2324; 0.6244; 0.8392; 0.0000; 52.8349
4.1519; -5.2409; 0.6301; 0.8653; 0.0000; 53.0733
4.3893; -5.2499; 0.6283; 0.8589; 0.0000; 53.3109
4.6159; -5.2573; 0.5825; 0.9953; 0.0000; 53.5376
4.8219; -5.2609; 0.5404; 0.9970; 0.0000; 53.7436
5.0059; -5.2605; 0.5350; 1.0437; 0.0000; 53.9277
5.1776; -5.2593; 0.5039; 1.0537; 0.0000; 54.0993
5.3470; -5.2601; 0.4958; 1.0528; 0.0000; 54.2687
5.5217; -5.2656; 0.4480; 1.0686; 0.0000; 54.4435
5.7007; -5.2766; 0.4338; 1.1167; 0.0000; 54.6228
5.8807; -5.2932; 0.4372; 1.1306; 0.0000; 54.8036
6.0589; -5.3158; 0.4178; 1.1324; 0.0000; 54.9832
6.2345; -5.3448; 0.4427; 1.1577; 0.0000; 55.1613
6.4084; -5.3806; 0.4115; 1.2120; 0.0000; 55.3388
6.5813; -5.4235; 0.4337; 1.2131; 0.0000; 55.5170
6.7532; -5.4738; 0.4006; 1.2494; 0.0000; 55.6960
6.9226; -5.5311; 0.4251; 1.1793; 0.0000; 55.8748
7.0879; -5.5950; 0.4127; 1.1639; 0.0000; 56.0521
7.2482; -5.6652; 0.3910; 1.1298; 0.0000; 56.2270
7.4049; -5.7411; 0.4376; 0.9714; 0.0000; 56.4012
7.5604; -5.8223; 0.4895; 0.9127; 0.0000; 56.5766
7.7170; -5.9080; 0.4930; 0.8836; 0.0000; 56.7552
7.8749; -5.9969; 0.5119; 0.7969; 0.0000; 56.9364
8.0325; -6.0870; 0.6922; 0.6462; 0.0000; 57.1179
8.1882; -6.1761; 0.7314; 0.5579; 0.0000; 57.2972
8.3414; -6.2626; 0.8371; 0.5030; 0.0000; 57.4732
8.4944; -6.3459; 1.0032; 0.4090; 0.0000; 57.6474
8.6501; -6.4254; 1.0618; 0.3500; 0.0000; 57.8222
8.8105; -6.5007; 1.1377; 0.3249; 0.0000; 57.9995
8.9757; -6.5711; 1.2012; 0.4255; 0.0000; 58.1790
9.1444; -6.6361; 1.2679; 0.4429; 0.0000; 58.3598
9.3152; -6.6951; 1.3126; 0.4498; 0.0000; 58.5405
9.4873; -6.7476; 1.2485; 0.5213; 0.0000; 58.7204
9.6596; -6.7935; 0.9531; 0.6324; 0.0000; 58.8988
9.8316; -6.8324; 0.8681; 0.6253; 0.0000; 59.0751
10.0028; -6.8646; 0.7480; 0.6819; 0.0000; 59.2492
10.1741; -6.8912; 0.5755; 0.7097; 0.0000; 59.4226
10.3470; -6.9137; 0.5189; 0.6752; 0.0000; 59.5970
10.5224; -6.9337; 0.4826; 0.7062; 0.0000; 59.7735
10.7002; -6.9531; 0.4852; 0.6773; 0.0000; 59.9524
10.8791; -6.9739; 0.4449; 0.6583; 0.0000; 60.1325
11.0579; -6.9985; 0.4219; 0.6579; 0.0000; 60.3130
11.2361; -7.0278; 0.4508; 0.6225; 0.0000; 60.4936
11.4139; -7.0612; 0.5083; 0.5748; 0.0000; 60.6745
11.5916; -7.0982; 0.5069; 0.5745; 0.0000; 60.8560
11.7695; -7.1379; 0.5374; 0.5670; 0.0000; 61.0382
11.9475; -7.1794; 0.5650; 0.4921; 0.0000; 61.2210
12.1255; -7.2221; 0.5743; 0.4979; 0.0000; 61.4041
12.3033; -7.2649; 0.5682; 0.5003; 0.0000; 61.5870
12.4811; -7.3092; 0.5930; 0.4982; 0.0000; 61.7702
12.6590; -7.3574; 0.6672; 0.4503; 0.0000; 61.9545
12.8374; -7.4121; 0.6482; 0.4644; 0.0000; 62.1411
13.0160; -7.4745; 0.6497; 0.4435; 0.0000; 62.3303
13.1932; -7.5421; 0.6843; 0.4257; 0.0000; 62.5199
13.3675; -7.6120; 0.6787; 0.4107; 0.0000; 62.7077
13.5375; -7.6819; 0.6909; 0.4057; 0.0000; 62.8915
13.7044; -7.7526; 0.7392; 0.4181; 0.0000; 63.0728
13.8702; -7.8265; 0.7292; 0.4486; 0.0000; 63.2543
