x_ref_m; y_ref_m; width_left_m; width_right_m; psi_racetraj_rad; s_racetraj_m; kappa_racetraj_radpm; vx_racetraj_mps; sector
7.10E+00; -5.60E+00; 0.4234; 1.103; -2.0482; 56.9836; -0.1345; 6.1305; 8
7.63E+00; -5.86E+00; 0.5383; 0.7576; -2.0886; 57.5834; -0.0155; 6.5383; 8
8.16E+00; -6.16E+00; 0.8952; 0.4394; -2.0635; 58.1832; 0.1209; 6.5176; 8
8.68E+00; -6.44E+00; 1.2641; 0.3356; -1.9421; 58.783; 0.2321; 6.3578; 8
9.24E+00; -6.67E+00; 1.234; 0.564; -1.8055; 59.3829; 0.2152; 6.3406; 8
9.82E+00; -6.83E+00; 0.6453; 0.7048; -1.7083; 59.9827; 0.0919; 6.5024; 8
1.04E+01; -6.92E+00; 0.458; 0.71; -1.7021; 60.5825; -0.0621; 6.8892; 8
1.10E+01; -6.99E+00; 0.4482; 0.6022; -1.7552; 61.1824; -0.1015; 7.239; 8
1.16E+01; -7.10E+00; 0.5436; 0.5567; -1.8124; 61.7822; -0.0845; 7.5265; 8
1.22E+01; -7.24E+00; 0.5957; 0.4716; -1.8557; 62.382; -0.0604; 7.8366; 8
1.28E+01; -7.40E+00; 0.6922; 0.4321; -1.8851; 62.9818; -0.0374; 7.4203; 8
1.33E+01; -7.58E+00; 0.7282; 0.3911; -1.9061; 63.5817; -0.0411; 6.6325; 8
1.39E+01; -7.78E+00; 0.7508; 0.4466; -1.9341; 64.1815; -0.0648; 5.7695; 9
1.45E+01; -7.99E+00; 0.8309; 0.4597; -2.0069; 64.7813; -0.1473; 5.0035; 9
1.50E+01; -8.24E+00; 0.7614; 0.5601; -2.1337; 65.3811; -0.3075; 4.2687; 9
1.55E+01; -8.54E+00; 0.6603; 0.9208; -2.3851; 65.981; -0.5221; 3.7558; 9
1.59E+01; -8.96E+00; 0.4203; 1.3136; -2.7532; 66.5808; -0.7078; 3.3244; 9
1.63E+01; -9.53E+00; 0.487; 1.3573; 3.0112; 67.1806; -1.051; 3.0845; 9
1.65E+01; -1.03E+01; 0.5683; 1.2563; 2.3905; 67.7804; -1.0096; 3.0744; 9
1.59E+01; -1.07E+01; 0.9939; 0.4537; 1.8699; 68.3803; -0.6761; 3.2476; 9
1.53E+01; -1.08E+01; 0.8809; 0.5562; 1.5481; 68.9801; -0.4127; 3.7626; 10
1.47E+01; -1.08E+01; 0.8041; 0.4888; 1.3622; 69.5799; -0.2226; 4.3976; 10
1.41E+01; -1.07E+01; 0.8237; 0.4445; 1.2964; 70.1798; 0.0079; 5.0128; 10
1.35E+01; -1.05E+01; 0.8201; 0.5448; 1.3103; 70.7796; 0.0151; 5.5464; 10
1.29E+01; -1.04E+01; 0.8175; 0.4855; 1.3144; 71.3794; 0.0002; 6.0207; 10
1.24E+01; -1.02E+01; 0.7469; 0.5195; 1.3126; 71.9792; -0.003; 6.4489; 10
1.18E+01; -1.01E+01; 0.7354; 0.4969; 1.312; 72.5791; 0.0007; 6.8401; 10
1.12E+01; -9.91E+00; 0.7782; 0.4102; 1.3134; 73.1789; 0.004; 7.2006; 10
1.06E+01; -9.76E+00; 0.7601; 0.491; 1.3167; 73.7787; 0.0066; 7.5349; 10
1.00E+01; -9.61E+00; 0.7273; 0.5247; 1.3206; 74.3785; 0.0061; 7.8467; 10
9.45E+00; -9.46E+00; 0.7743; 0.5455; 1.324; 74.9784; 0.0053; 8.1387; 10
8.87E+00; -9.31E+00; 0.7591; 0.5029; 1.327; 75.5782; 0.0045; 8.4133; 10
8.29E+00; -9.17E+00; 0.8208; 0.5496; 1.3295; 76.178; 0.0037; 8.6722; 10
7.70E+00; -9.02E+00; 0.823; 0.5655; 1.3314; 76.7779; 0.0028; 8.9171; 10
7.12E+00; -8.88E+00; 0.8979; 0.5219; 1.3329; 77.3777; 0.002; 9.1491; 10
6.54E+00; -8.74E+00; 0.9749; 0.5113; 1.3338; 77.9775; 0.0011; 9.3695; 10
5.96E+00; -8.60E+00; 1.13; 0.4525; 1.3342; 78.5773; 0.0002; 9.5792; 10
5.37E+00; -8.46E+00; 1.3964; 0.4643; 1.3341; 79.1772; -0.0006; 9.779; 11
4.79E+00; -8.32E+00; 1.8416; 0.476; 1.3334; 79.777; -0.002; 9.9697; 11
4.21E+00; -8.18E+00; 1.8643; 0.5323; 1.3304; 80.3768; -0.0083; 10; 11
3.62E+00; -8.03E+00; 1.6823; 0.4729; 1.3253; 80.9766; -0.0087; 10; 11
3.04E+00; -7.89E+00; 1.5605; 0.4726; 1.3186; 81.5765; -0.0142; 10; 11
2.46E+00; -7.74E+00; 1.5299; 0.5151; 1.3079; 82.1763; -0.0215; 10; 11
1.88E+00; -7.59E+00; 1.4128; 0.5328; 1.2929; 82.7761; -0.0286; 9.4259; 11
1.30E+00; -7.42E+00; 1.3227; 0.4788; 1.2736; 83.376; -0.0356; 8.8274; 11
7.30E-01; -7.25E+00; 1.2036; 0.4875; 1.2484; 83.9758; -0.0549; 8.2401; 11
1.60E-01; -7.06E+00; 1.1515; 0.5; 1.2007; 84.5756; -0.0915; 7.785; 11
-4.01E-01; -6.85E+00; 0.9901; 0.5595; 1.1432; 85.1754; -0.102; 7.3258; 11
-9.49E-01; -6.61E+00; 0.8824; 0.6601; 1.0762; 85.7753; -0.1236; 6.8676; 11
-1.48E+00; -6.33E+00; 0.5889; 0.9343; 0.9927; 86.3751; -0.157; 6.4437; 12
-1.99E+00; -6.01E+00; 0.4332; 1.235; 0.8862; 86.9749; -0.1994; 6.0822; 12
-2.46E+00; -5.64E+00; 0.3693; 1.5361; 0.7532; 87.5747; -0.2437; 5.7948; 12
-2.88E+00; -5.21E+00; 0.3414; 1.9461; 0.5932; 88.1746; -0.2922; 5.5903; 12
-3.23E+00; -4.72E+00; 0.3298; 2.0733; 0.4064; 88.7744; -0.33; 5.477; 12
-3.48E+00; -4.18E+00; 0.4493; 2.0601; 0.205; 89.3742; -0.3306; 5.4072; 12
-3.62E+00; -3.60E+00; 0.5027; 1.9053; 0.0133; 89.974; -0.3101; 5.3997; 12
-3.65E+00; -3.00E+00; 0.4921; 1.8043; -0.1695; 90.5739; -0.3019; 5.4414; 12
-3.57E+00; -2.41E+00; 0.3944; 1.8395; -0.3509; 91.1737; -0.3036; 5.479; 12
-3.38E+00; -1.84E+00; 0.3979; 1.9458; -0.5324; 91.7735; -0.2979; 5.5003; 12
-3.09E+00; -1.31E+00; 0.4495; 2.1426; -0.7041; 92.3734; -0.2714; 5.5534; 12
-2.71E+00; -8.45E-01; 0.5276; 2.1433; -0.856; 92.9732; -0.2374; 5.683; 12
-2.27E+00; -4.41E-01; 0.6254; 1.8338; -0.9923; 93.573; -0.2174; 5.8568; 12
-1.78E+00; -1.02E-01; 0.7807; 1.5138; -1.1165; 94.1728; -0.1968; 6.0432; 12
-1.24E+00; 1.72E-01; 0.8511; 1.244; -1.2281; 94.7727; -0.1753; 6.2475; 13
-6.83E-01; 3.84E-01; 0.9552; 1.0478; -1.3268; 95.3725; -0.1537; 6.4736; 13
