label,score,passed,failed,max_lat_err,avg_lat_err,max_hdg_err,avg_hdg_err,max_vx,avg_vel_err,max_vel_err,avg_solve_us,max_solve_us,wall_collisions,time_above_5ms,avg_iters,status,ADMM_ALPHA,ADMM_RHO,ADMM_RHO_U,ADMM_TOL,MAX_ADMM_ITER,MIN_LIN_VEL,N,Q_HDG,Q_LAT,Q_LAT_VEL,Q_VEL,Q_YAW,R_ACCEL,R_STEER,STABILITY_LIMIT,WALL_END,WALL_MARGIN,WALL_START,WALL_STRIDE,WP_ADVANCE_MAX,W_ACCEL_RATE,W_DELTA_ACT,W_JERK,dt
dt=0.05+N=15+WE=4+WM=0.2,600.0,4,2,0.3686,0.0217,0.5517,0.0195,5.07,0.1717,3.0985,26.0,4346.8,1,0.0,1.6,OK,0.93,32.0,20.0,5.0,20,2.0,15,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,4,0.2,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=15+WE=4+WM=0.1,600.0,4,2,0.3686,0.0217,0.5517,0.0195,5.07,0.1717,3.0985,25.9,4053.5,1,0.0,1.6,OK,0.93,32.0,20.0,5.0,20,2.0,15,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,4,0.1,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=15+WE=4+WM=0.15,600.0,4,2,0.3686,0.0217,0.5517,0.0195,5.07,0.1717,3.0985,23.7,3154.5,1,0.0,1.6,OK,0.93,32.0,20.0,5.0,20,2.0,15,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,4,0.15,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=15+WE=4+WM=0.3,600.0,4,2,0.3686,0.0217,0.5517,0.0195,5.07,0.1717,3.0985,47.7,6000.8,1,0.0,1.6,OK,0.93,32.0,20.0,5.0,20,2.0,15,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,4,0.3,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=15+WE=6+WM=0.0,600.0,4,2,0.3776,0.0201,0.5519,0.0163,5.13,0.1555,3.3328,32.6,4071.7,1,0.0,1.6,OK,0.93,32.0,20.0,5.0,20,2.0,15,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,6,0.0,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=15+WE=6+WM=0.01,600.0,4,2,0.3976,0.022,0.5519,0.0192,4.97,0.1726,3.3236,34.4,3274.0,1,0.0,1.7,OK,0.93,32.0,20.0,5.0,20,2.0,15,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,6,0.01,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=15+WE=6+WM=0.02,600.0,4,2,0.3747,0.0225,0.5519,0.0188,4.88,0.1702,2.8125,27.3,2780.6,1,0.0,1.7,OK,0.93,32.0,20.0,5.0,20,2.0,15,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,6,0.02,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=15+WE=6+WM=0.05,600.0,4,2,0.3962,0.0201,0.5519,0.017,4.95,0.1559,3.3329,32.3,4536.7,1,0.0,1.7,OK,0.93,32.0,20.0,5.0,20,2.0,15,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,6,0.05,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=15+WE=6+WM=0.04,600.0,4,2,0.3903,0.0215,0.5519,0.0195,5.01,0.1689,3.3867,26.6,1871.7,1,0.0,1.6,OK,0.93,32.0,20.0,5.0,20,2.0,15,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,6,0.04,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=15+WE=6+WM=0.03,600.0,4,2,0.3718,0.0201,0.5519,0.0167,5.07,0.1549,3.1876,27.1,5044.1,1,0.0,1.5,OK,0.93,32.0,20.0,5.0,20,2.0,15,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,6,0.03,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=15+WE=6+WM=0.08,600.0,4,2,0.3774,0.0225,0.5519,0.0187,4.89,0.1684,2.9408,47.0,6073.4,1,0.0,1.6,OK,0.93,32.0,20.0,5.0,20,2.0,15,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,6,0.08,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=15+WE=6+WM=0.15,600.0,4,2,0.4182,0.0221,0.5574,0.0191,4.77,0.1729,3.4651,25.1,1871.6,1,0.0,1.6,OK,0.93,32.0,20.0,5.0,20,2.0,15,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,6,0.15,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=15+WE=6+WM=0.3,600.0,4,2,0.3967,0.0212,0.5587,0.0197,5.05,0.1709,3.6659,22.5,310.2,1,0.0,1.7,OK,0.93,32.0,20.0,5.0,20,2.0,15,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,6,0.3,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=15+WE=6+WM=0.2,600.0,4,2,0.3657,0.0218,0.5549,0.0191,4.97,0.1712,3.0375,22.2,868.7,1,0.0,1.5,OK,0.93,32.0,20.0,5.0,20,2.0,15,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,6,0.2,1,4,10,0.1,0.53,0.3,0.05
