# s_m,x_m,y_m,psi_rad,kappa_radpm,velocity_mps,acceleration_mps2,d_left_m,d_right_m
9.026145,1.518352,-3.250664,2.9331885,-0.0003147,0.0000000,0.0000000,0.738437,0.776226
9.106028,1.440197,-3.234140,2.9333418,0.0041539,0.0000000,0.0000000,0.733915,0.771101
9.185910,1.362036,-3.217642,2.9338401,0.0083226,0.0000000,0.0000000,0.728650,0.768973
9.265793,1.283865,-3.201195,2.9346559,0.0121023,0.0000000,0.0000000,0.723963,0.768714
9.345676,1.205677,-3.184823,2.9357535,0.0153767,0.0000000,0.0000000,0.721518,0.766834
9.425559,1.127470,-3.168547,2.9370860,0.0179843,0.0000000,0.0000000,0.721718,0.762332
9.505442,1.049240,-3.152382,2.9385929,0.0197454,0.0000000,0.0000000,0.721616,0.756563
9.585325,0.970985,-3.136339,2.9401990,0.0204656,0.0000000,0.0000000,0.718840,0.751413
9.665208,0.892703,-3.120423,2.9418127,0.0199349,0.0000000,0.0000000,0.715728,0.748421
9.745091,0.814397,-3.104631,2.9433274,0.0179885,0.0000000,0.0000000,0.714444,0.744370
9.824973,0.736069,-3.088949,2.9446235,0.0144616,0.0000000,0.0000000,0.714635,0.739095
9.904856,0.657723,-3.073356,2.9455713,0.0092678,0.0000000,0.0000000,0.716498,0.737721
9.984739,0.579365,-3.057819,2.9460361,0.0023683,0.0000000,0.0000000,0.719900,0.738315
10.064622,0.501005,-3.042295,2.9458821,-0.0062229,0.0000000,0.0000000,0.722922,0.737166
10.144505,0.422653,-3.026731,2.9449783,-0.0164046,0.0000000,0.0000000,0.724790,0.735285
10.224388,0.344322,-3.011062,2.9432021,-0.0280654,0.0000000,0.0000000,0.726030,0.734434
10.304271,0.266027,-2.995217,2.9404425,-0.0410272,0.0000000,0.0000000,0.728050,0.735444
10.384153,0.187784,-2.979113,2.9366026,-0.0551100,0.0000000,0.0000000,0.730940,0.738232
10.464036,0.109613,-2.962665,2.9316003,-0.0701306,0.0000000,0.0000000,0.733845,0.742358
10.543919,0.031535,-2.945778,2.9253684,-0.0858969,0.0000000,0.0000000,0.736482,0.746987
10.623802,-0.046424,-2.928355,2.9178541,-0.1022370,0.0000000,0.0000000,0.740200,0.751336
10.703684,-0.124239,-2.910296,2.9090187,-0.1189713,0.0000000,0.0000000,0.745504,0.755566
