idx,stamp_sec,stamp_nsec,status,iters,used_fallback,max_iter_streak,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,out_steer_fp,out_accel_fp,pub_steer,pub_speed,pub_accel,ref_vx0_fp,ref_kappa0_fp,ref_left0_fp,ref_right0_fp
87,1779177351,822467290,0,1,0,0,17231,-40426,252087,-2361,-69805,-15617,1851568,-15471,1851568,-0.0590172,1.1735307,7.0631714,522161,-92311,201851,270008
88,1779177351,827619963,0,2,0,0,17014,-40780,257190,-2502,-68848,-15471,1851568,-15164,1851568,-0.0578461,1.1929971,7.0631714,522318,-92311,201851,270008
89,1779177351,832634361,0,2,0,0,16798,-41122,259564,-2637,-68078,-15164,1851568,-14718,1851568,-0.0561447,1.2020532,7.0631714,522318,-92311,201851,270008
90,1779177351,837618965,0,1,0,0,16581,-41457,260276,-2714,-67343,-14718,1851568,-14195,1851568,-0.0541496,1.2047693,7.0631714,522468,-92311,201851,270008
91,1779177351,843257570,0,1,0,0,16331,-41834,262709,-2778,-66812,-14195,1851568,-13609,1851568,-0.0519142,1.2140504,7.0631714,522620,-92311,201851,270008
92,1779177351,847612239,0,1,0,0,15484,-39666,266210,-2792,-70043,-13609,1851568,-13262,1851568,-0.0505905,1.2274057,7.0631714,526016,-90378,201851,270008
93,1779177351,852476617,0,4,0,0,15267,-40020,276358,-2766,-72751,-13262,1851568,-13003,1851568,-0.0496025,1.2661172,7.0631714,526170,-90378,201851,270008
94,1779177351,857472614,0,5,0,0,15035,-40396,287455,-2711,-75190,-13003,1851568,-12715,1851568,-0.0485039,1.3084489,7.0631714,526324,-90378,201851,270008
95,1779177351,862475459,0,2,0,0,14796,-40781,291906,-2626,-77025,-12715,1851568,-12334,1851568,-0.0470505,1.3254281,7.0631714,526478,-90378,201851,270008
96,1779177351,867640676,0,1,0,0,13910,-38758,296000,-2510,-78188,-12334,1851568,-12124,1851568,-0.0462494,1.3410455,7.0631714,529914,-88445,201851,270008
97,1779177351,872475357,0,3,0,0,13680,-39145,305139,-2394,-80038,-12124,1851568,-11895,1851568,-0.0453758,1.3759080,7.0631714,530070,-88445,201851,270008
98,1779177351,877101777,0,1,0,0,13456,-39523,309827,-2269,-81672,-11895,1851568,-11565,1851568,-0.0441170,1.3937913,7.0631714,530225,-88445,201851,270008
99,1779177351,882489528,0,1,0,0,12562,-37595,313922,-2100,-81664,-11565,1851568,-11377,1851568,-0.0433998,1.4094125,7.0631714,533711,-86747,196608,270008
100,1779177351,887625784,0,3,0,0,12315,-38022,320746,-1945,-82982,-11377,1851568,-11118,1851568,-0.0424118,1.4354440,7.0631714,533859,-86747,196608,270008
101,1779177351,892545107,0,3,0,0,12074,-38439,325672,-1786,-84908,-11118,1851568,-10724,1851568,-0.0409088,1.4542352,7.0631714,534015,-86747,196608,270008
102,1779177351,897491151,0,2,0,0,11200,-36523,330656,-1599,-86259,-10724,1851568,-10477,1851568,-0.0399666,1.4732476,7.0631714,537691,-84440,193987,270008
103,1779177351,902191365,0,2,0,0,10973,-36934,336116,-1428,-87468,-10477,1851568,-10170,1851568,-0.0387955,1.4940759,7.0631714,537691,-84440,193987,270008
104,1779177351,907778896,0,3,0,0,10698,-37416,340567,-1213,-86270,-10170,1851568,-9718,1851568,-0.0370712,1.5110551,7.0631714,537848,-84440,193987,270008
105,1779177351,912766637,0,2,0,0,10446,-37843,345611,-1000,-85607,-9718,1851568,-9168,1851568,-0.0349731,1.5302964,7.0631714,538005,-84440,193987,270008
106,1779177351,917686344,0,2,0,0,9604,-35998,351308,-777,-83288,-9168,1851568,-8873,1851568,-0.0338478,1.5520288,7.0631714,541568,-83266,193987,264765
107,1779177351,922548290,0,3,0,0,9363,-36385,356055,-576,-79669,-8873,1851568,-8627,1851568,-0.0329094,1.5701371,7.0631714,541726,-83266,193987,264765
108,1779177351,927522302,0,2,0,0,9111,-36762,360802,-401,-75733,-8627,1851568,-8313,1851568,-0.0317116,1.5882455,7.0631714,541883,-83266,193987,264765
109,1779177351,932559164,0,2,0,0,8266,-34894,366974,-250,-73181,-8313,1851568,-8200,1851568,-0.0312805,1.6117898,7.0631714,545490,-80891,193987,264765
110,1779177351,937575130,0,3,0,0,8017,-35262,371959,-125,-73288,-8200,1851568,-8021,1851568,-0.0305977,1.6308061,7.0631714,545648,-80891,193987,264765
111,1779177351,942644857,0,7,0,0,7759,-35645,377122,8,-75493,-8021,1851568,-7678,1851568,-0.0292892,1.6505014,7.0631714,545807,-80891,193987,264765
112,1779177351,947515891,0,7,0,0,6939,-33850,383234,170,-78939,-7678,1851568,-7469,1843205,-0.0284920,1.6728598,7.0312691,549457,-78985,193987,264765
113,1779177351,952492879,0,2,0,0,6690,-34260,388575,371,-82492,-7469,1843205,-7166,1803534,-0.0273361,1.6886941,6.8799362,549617,-78985,193987,264765
114,1779177351,957498220,0,2,0,0,5874,-32579,394212,594,-86402,-7469,1803534,-7408,1785079,-0.0282593,1.7080855,6.8095360,553310,-77702,188744,264765
115,1779177351,962546699,0,3,0,0,5625,-33035,400562,847,-90444,-7408,1785079,-7104,1735597,-0.0270996,1.7266461,6.6207771,553464,-77702,188744,264765
116,1779177351,967590953,0,3,0,0,5372,-33512,405962,1122,-94497,-7104,1735597,-6595,1685708,-0.0251579,1.7415361,6.4304657,553625,-77702,188744,264765
117,1779177351,972468163,0,2,0,0,4572,-31898,411837,1430,-98097,-6595,1685708,-6301,1665584,-0.0240364,1.7616445,6.3536987,557344,-75681,188744,264765
118,1779177351,977491808,0,3,0,0,4324,-32399,417296,1817,-99734,-6301,1665584,-5984,1621836,-0.0228271,1.7774622,6.1868134,557505,-75681,188744,264765
