idx,iterations,solve_time_us
1423,11,583.0
1424,11,641.0
1425,11,583.0
1426,11,575.0
1427,11,578.0
1428,11,567.0
1429,11,540.0
1430,11,599.0
1431,11,585.0
1432,11,570.0
1433,11,600.0
1434,11,581.0
1435,11,675.0
1436,11,590.0
1437,11,569.0
1438,11,580.0
1439,11,578.0
1440,11,577.0
1441,11,756.0
1442,11,788.0
1443,11,668.0
1444,11,529.0
1445,11,536.0
1446,11,595.0
1447,11,609.0
1448,11,610.0
1449,11,527.0
1450,11,582.0
1451,11,584.0
1452,11,587.0
1453,11,577.0
1454,11,575.0
1455,11,590.0
1456,11,580.0
1457,11,578.0
1458,11,589.0
1459,11,615.0
1460,11,620.0
1461,11,573.0
1462,11,599.0
1463,11,582.0
1464,11,780.0
1465,11,683.0
1466,11,686.0
1467,11,646.0
1468,11,592.0
1469,11,596.0
1470,11,798.0
1471,11,660.0
1472,11,531.0
1473,11,541.0
1474,11,582.0
1475,11,637.0
1476,11,579.0
1477,11,584.0
1478,11,574.0
1479,11,637.0
1480,11,582.0
1481,11,579.0
1482,11,583.0
1483,11,603.0
1484,11,584.0
1485,11,599.0
1486,11,630.0
1487,12,677.0
1488,11,581.0
1489,11,609.0
1490,12,548.0
1491,11,527.0
1492,11,537.0
1493,12,545.0
1494,11,593.0
1495,11,533.0
1496,12,548.0
1497,11,587.0
1498,12,597.0
1499,11,579.0
1500,12,601.0
1501,11,589.0
1502,11,523.0
1503,12,549.0
1504,11,535.0
1505,12,550.0
1506,11,599.0
1507,12,675.0
1508,11,605.0
1509,12,648.0
1510,11,634.0
1511,12,648.0
1512,11,585.0
1513,12,604.0
1514,11,527.0
1515,12,618.0
1516,11,896.0
1517,12,702.0
1518,11,584.0
1519,12,536.0
1520,11,578.0
1521,12,601.0
1522,11,665.0
1523,12,604.0
1524,11,528.0
1525,12,559.0
1526,11,540.0
1527,12,544.0
1528,11,518.0
1529,12,549.0
1530,11,530.0
1531,12,643.0
1532,11,628.0
1533,12,650.0
1534,11,626.0
1535,12,774.0
1536,11,645.0
1537,12,651.0
1538,11,522.0
1539,12,593.0
1540,11,625.0
1541,12,658.0
1542,12,643.0
1543,11,520.0
1544,12,597.0
1545,12,599.0
1546,11,580.0
1547,12,546.0
1548,12,545.0
1549,11,528.0
1550,12,533.0
1551,12,547.0
1552,12,549.0
1553,12,581.0
1554,12,549.0
1555,12,603.0
1556,12,646.0
1557,12,655.0
1558,12,651.0
1559,12,854.0
1560,12,779.0
1561,12,698.0
1562,12,644.0
1563,12,727.0
1564,12,709.0
1565,12,536.0
1566,12,596.0
1567,12,647.0
1568,12,775.0
1569,12,605.0
1570,12,551.0
1571,12,557.0
1572,12,534.0
1573,12,558.0
1574,12,603.0
1575,12,603.0
1576,12,600.0
1577,12,594.0
1578,12,604.0
1579,12,659.0
1580,12,757.0
1581,12,728.0
1582,12,663.0
1583,12,610.0
1584,12,595.0
1585,12,668.0
1586,12,701.0
1587,12,659.0
1588,12,648.0
1589,12,730.0
1590,12,698.0
1591,12,736.0
1592,12,644.0
1593,12,613.0
1594,12,606.0
1595,12,590.0
1596,12,597.0
1597,12,595.0
1598,12,601.0
1599,12,597.0
1600,12,603.0
1601,12,598.0
1602,12,549.0
1603,12,592.0
1604,12,592.0
1605,12,592.0
1606,12,549.0
1607,12,550.0
1608,12,610.0
1609,12,553.0
1610,12,532.0
1611,12,543.0
1612,12,545.0
1613,12,614.0
1614,12,550.0
1615,12,545.0
1616,12,657.0
1617,12,650.0
1618,12,593.0
1619,12,592.0
1620,12,612.0
1621,12,595.0
1622,12,607.0
1623,12,602.0
1624,12,594.0
1625,12,600.0
1626,12,595.0
1627,12,623.0
1628,12,586.0
1629,12,593.0
1630,12,594.0
1631,12,709.0
1632,12,647.0
1633,12,538.0
1634,12,543.0
1635,12,543.0
1636,12,609.0
1637,12,597.0
1638,12,601.0
1639,12,587.0
1640,12,587.0
1641,12,614.0
1642,12,593.0
1643,12,600.0
1644,12,546.0
1645,12,539.0
1646,12,557.0
1647,12,540.0
1648,12,555.0
1649,12,556.0
1650,12,609.0
1651,12,604.0
1652,12,545.0
1653,12,603.0
1654,12,599.0
1655,12,725.0
1656,12,565.0
1657,12,542.0
1658,12,598.0
1659,12,677.0
1660,12,661.0
