idx,stamp_ns,compute_ok,status,iters,control_flags,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,ref_vx0_fp,ref_kappa0_fp,total_call_ns,kernel_ns,wait_ns
23855,1778515613162477574,1,1,50,0,-34275,-1851569,-16428,-1719,411481,59196,-89075,-11870,1851568,421913,-8130,882758,765319,772329
23856,1778515613167476098,1,1,50,0,-33422,1851568,-16335,-1514,410220,59962,-89437,-11017,-1851569,420822,-8340,881389,765059,772609
23857,1778515613172897827,1,1,50,0,-33006,-1851569,-15980,-1604,408588,60799,-89894,-10601,1851568,420538,-8418,883299,765359,775049
23858,1778515613177485817,1,1,50,0,12900,-1851569,-15851,-1561,407431,61557,-88660,-9504,-1851569,420118,-8402,880719,764969,773029
23859,1778515613182496181,1,1,50,0,13104,-1851569,-15645,-1778,406214,62330,-87835,-9300,-1851569,419972,-8478,882519,765569,772139
23860,1778515613187470352,1,1,50,0,14014,1851568,-15493,-1755,405027,63101,-86240,-8390,-1851569,419922,-8448,898249,766229,773609
23861,1778515613192511084,1,1,50,0,13770,-1851569,-15256,-1708,403751,63785,-84892,-8634,1851568,419871,-8491,882499,765809,774509
23862,1778515613197544104,1,1,50,0,14118,1851568,-15040,-1902,402520,64421,-83279,-8286,-1851569,419846,-8479,882308,766159,773288
23863,1778515613202497219,1,1,50,0,13629,-1851569,-14877,-1854,401318,64941,-82010,-8775,1851568,419795,-8527,883829,765609,775569
23864,1778515613207574431,1,1,50,0,-31483,1851568,-14708,-1816,400280,65392,-81084,-9078,-1851569,419667,-8391,882609,766209,774079
