idx,iterations,solve_time_us
536,2,286.6
537,6,344.5
538,6,377.7
539,6,374.6
540,2,283.5
541,6,371.2
542,6,345.9
543,6,332.0
544,6,337.1
545,6,332.0
546,6,339.3
547,6,337.0
548,2,250.3
549,6,346.9
550,6,345.7
551,6,338.0
552,2,257.6
553,6,339.9
554,6,334.8
555,6,336.4
556,6,402.4
557,6,516.2
558,6,375.9
559,2,255.9
560,6,362.1
561,6,338.5
562,6,344.1
563,6,338.8
564,2,250.9
565,3,418.4
566,2,392.8
567,3,374.5
568,2,395.5
569,6,437.8
570,6,352.6
571,6,345.3
572,2,249.1
573,2,250.2
574,6,355.7
575,2,261.4
576,2,273.1
577,2,266.5
578,6,341.0
579,6,404.0
580,6,343.5
581,6,350.8
582,6,343.2
583,2,261.7
584,6,339.1
585,6,329.6
586,6,507.2
587,2,322.3
588,2,288.0
589,2,266.3
590,2,291.9
591,3,270.6
592,6,337.1
593,6,338.4
594,6,335.5
595,2,255.4
596,2,255.8
597,2,258.1
598,2,255.4
599,6,345.8
600,2,497.2
601,2,378.7
602,2,268.9
603,3,275.7
604,6,332.3
605,6,334.9
606,6,334.9
607,2,251.0
608,2,262.2
609,2,248.3
610,6,395.6
611,6,397.4
612,2,247.6
613,2,252.2
614,2,250.7
615,2,246.8
616,6,348.7
617,6,349.3
618,6,374.9
619,6,361.7
620,3,284.2
621,6,350.8
622,6,343.8
623,3,275.2
624,2,323.2
625,2,305.9
626,2,312.3
627,2,274.3
628,2,251.1
629,6,343.7
630,2,249.3
631,3,274.7
632,2,288.8
633,3,320.9
634,6,347.3
635,6,337.0
636,2,260.2
637,6,340.8
638,2,400.9
639,2,259.9
640,6,335.5
641,6,332.8
642,2,248.4
643,3,272.3
644,2,251.1
645,3,268.3
646,3,273.2
647,3,300.7
648,2,263.9
649,6,396.9
650,2,400.0
651,2,385.0
652,2,263.7
653,3,343.0
654,2,269.6
655,3,331.9
656,2,314.3
657,3,274.1
658,3,471.2
659,2,325.1
660,2,294.0
661,2,262.9
662,2,275.5
663,2,263.9
664,2,258.2
665,2,256.0
666,2,254.8
667,2,254.8
668,2,255.4
669,6,342.0
670,3,279.6
671,2,256.3
672,3,268.5
673,2,262.5
674,2,252.8
675,2,263.4
676,3,271.1
677,2,264.2
678,2,334.2
679,2,265.8
680,3,282.3
681,3,270.5
682,2,252.2
683,2,267.6
684,2,255.8
685,2,321.7
686,2,281.4
687,2,251.4
688,3,276.8
689,2,259.1
690,2,254.3
691,2,297.7
692,2,255.0
693,3,275.0
694,2,252.5
695,2,252.1
696,2,255.7
697,2,266.9
698,2,265.7
699,3,275.0
700,2,252.8
701,2,410.1
702,2,315.0
703,2,279.0
704,2,278.1
705,2,254.9
706,2,278.0
707,2,268.1
708,2,277.1
709,2,267.5
710,2,259.8
711,3,277.6
712,2,252.2
713,2,272.6
714,2,274.0
715,2,291.6
716,3,274.2
717,2,257.1
718,2,259.1
719,2,256.2
720,2,263.8
721,2,256.7
722,2,257.3
723,3,289.7
724,3,280.5
725,2,305.3
726,2,454.6
727,2,281.1
728,2,361.2
729,6,344.1
730,6,474.7
731,2,317.8
732,2,389.7
733,2,316.5
734,3,401.5
735,3,278.1
736,6,349.7
737,3,280.8
738,3,328.2
739,2,264.6
740,2,253.2
741,3,269.0
742,3,272.4
743,3,269.4
744,3,274.8
745,50,1080.0
746,6,343.5
747,6,338.7
748,50,1096.5
749,50,1110.5
750,50,1151.3
751,6,410.3
752,6,479.4
753,6,350.9
754,3,317.1
755,6,342.9
756,50,1134.5
757,6,401.5
758,50,1134.6
759,50,1092.6
760,6,336.4
761,6,338.4
762,50,1331.7
763,50,1151.9
764,50,1097.2
765,6,332.1
766,6,334.7
767,50,1095.1
1,6,453.8
2,6,348.8
3,50,1098.0
4,50,1090.6
5,6,340.2
6,50,1100.6
7,50,1109.4
8,6,336.6
9,6,425.6
10,6,400.5
11,3,385.3
12,2,259.3
13,2,383.3
14,6,388.0
15,50,1211.1
16,50,1099.2
17,6,335.7
18,50,1095.9
19,6,338.6
20,6,355.3
21,50,1091.1
22,6,334.7
23,50,1099.4
24,50,1112.7
25,6,406.2
26,50,1155.4
27,6,356.4
28,6,356.3
29,50,1101.0
30,50,1097.0
31,6,490.6
32,6,407.0
33,50,1205.9
34,6,538.8
35,6,473.1
36,6,455.6
37,2,444.6
38,50,1212.3
39,50,1211.9
40,50,1095.3
41,50,1091.0
42,6,349.4
43,6,400.5
44,50,1136.9
45,50,1096.2
46,6,338.7
47,50,1097.6
48,6,379.4
49,50,1161.8
50,6,345.2
51,50,1090.0
52,50,1105.5
53,50,1090.3
54,50,1103.4
55,50,1094.0
56,6,353.1
57,5,513.3
58,50,1163.8
59,6,381.7
60,6,356.2
61,50,1133.1
62,6,350.3
63,50,1140.8
64,6,340.4
65,50,1098.1
66,50,1158.0
67,6,393.4
68,6,405.5
69,50,1099.1
70,6,346.2
71,6,334.7
72,50,1099.3
73,6,334.4
74,50,1108.9
75,6,335.5
76,50,1110.4
77,6,332.0
78,50,1100.1
79,6,350.0
80,50,1106.4
81,6,347.9
82,50,1237.8
83,5,456.0
84,9,411.4
85,50,1159.7
86,5,405.6
87,6,511.3
88,50,1098.3
89,50,1161.1
90,6,425.5
91,6,413.2
92,50,1137.2
93,50,1163.2
94,6,376.7
95,6,400.2
96,6,336.3
97,5,320.5
98,50,1134.3
99,50,1107.0
100,50,1133.6
101,50,1095.9
102,50,1093.5
103,5,314.6
104,6,338.2
105,50,1099.3
106,6,406.3
107,6,481.9
108,3,397.9
109,50,1229.7
110,6,594.5
111,3,422.0
112,6,347.7
113,50,1156.5
114,6,421.8
115,50,1332.0
116,6,429.2
117,5,388.7
118,50,1184.0
119,50,1097.6
120,6,374.2
121,5,391.5
122,6,371.2
123,2,316.1
124,6,410.4
125,6,336.1
126,6,338.5
127,6,331.6
128,6,336.6
129,6,343.5
130,6,347.7
131,6,337.4
132,3,286.6
133,6,381.0
134,6,555.4
135,6,529.0
136,6,343.2
137,50,1159.0
138,6,354.9
139,6,399.7
140,6,381.5
141,2,292.0
142,2,258.9
143,6,347.6
144,6,334.7
145,6,485.7
146,6,348.0
147,5,320.5
148,6,350.3
149,2,254.7
150,6,336.0
151,6,370.0
152,6,337.6
153,6,343.7
154,6,341.9
155,6,335.4
156,5,432.2
157,6,484.2
158,6,397.9
159,6,358.5
160,2,338.8
161,6,402.6
162,6,378.3
163,6,398.2
164,6,459.2
165,6,399.1
166,6,424.1
167,6,348.7
168,6,425.9
169,6,408.4
170,6,424.3
171,6,404.7
172,6,397.2
173,6,352.7
174,6,394.0
175,6,345.5
176,6,336.2
177,6,346.0
178,6,361.9
179,6,343.2
180,6,338.1
181,6,348.1
182,6,349.3
183,6,425.5
184,6,349.3
185,5,322.6
186,6,341.4
187,6,335.0
188,6,555.9
189,6,435.9
190,6,350.9
191,6,353.1
192,6,338.0
193,6,395.3
194,6,405.5
195,6,343.9
196,2,249.0
197,6,343.3
198,6,444.6
199,6,345.0
200,2,290.3
201,6,340.0
202,6,336.4
203,2,247.3
204,6,335.9
205,6,335.9
206,6,342.7
207,6,342.3
208,6,330.7
209,6,348.6
210,6,474.2
211,6,425.2
212,6,439.7
213,6,401.6
214,6,426.8
215,6,398.0
216,6,468.0
217,6,452.8
218,6,424.0
219,6,398.9
220,6,394.1
221,6,392.4
222,6,492.1
223,6,337.0
224,6,334.0
225,6,332.8
226,6,345.2
227,6,330.9
228,6,332.9
229,6,338.5
230,6,330.4
231,6,405.8
232,6,395.5
233,6,389.6
234,6,453.8
235,7,476.2
236,6,449.1
237,6,350.3
238,6,398.9
239,6,390.4
240,6,339.8
241,6,416.2
242,6,424.5
