idx,stamp_ns,compute_ok,status,iters,control_flags,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,ref_vx0_fp,ref_kappa0_fp,total_call_ns,kernel_ns,wait_ns
5656,1778515522156317344,1,263748,4294965070,8,-1548,-2121,-1548,-2121,263748,13278,82984,17594,-2226,279015,12538,177850,63660,69830
5657,1778515522161327362,1,265113,4294965175,8,-1446,-2018,-1446,-2018,265113,12162,84977,16275,-2121,280653,13202,175540,61990,67680
5658,1778515522166315043,1,266121,4294965278,8,-1341,-1928,-1341,-1928,266121,11129,87755,17570,-2018,282271,13575,178160,63640,69860
5659,1778515522171629576,1,267012,4294965368,8,-1797,-2454,-1797,-2454,267012,9904,89344,16196,-1928,283791,14035,176870,62290,68510
5660,1778515522176393830,1,267768,4294964842,8,-1699,-2392,-1699,-2392,267768,8927,91447,18035,-2454,285233,14505,177780,63010,69640
5661,1778515522181330022,1,268910,4294964904,8,-1604,-2311,-1604,-2311,268910,7809,92992,16672,-2392,286596,14685,176180,62270,67480
5662,1778515522186334503,1,270453,4294964985,8,-1509,-2222,-1509,-2222,270453,6769,96210,18142,-2311,287873,14354,179300,63380,69320
5663,1778515522191101445,1,272263,4294965074,8,-1982,-1517,-1982,-1517,272263,5647,98235,16704,-2222,289054,14042,176830,62650,68500
5664,1778515522196311113,1,273880,4294965779,8,-1986,-989,-1986,-989,273880,4472,101369,17702,-1517,289054,14042,177630,62730,69080
5665,1778515522201328554,1,275141,4294966307,8,-1901,-856,-1901,-856,275141,3192,102058,16004,-989,290248,13756,177910,62110,68970
5666,1778515522206312843,1,276462,4294966440,8,-1822,-710,-1822,-710,276462,2009,102714,17060,-856,291472,13375,177010,63010,69010
5667,1778515522211311788,1,277960,4294966586,8,-1750,-559,-1750,-559,277960,732,101751,15467,-710,292730,13121,177360,62840,68740
5668,1778515522216311949,1,279696,4294966737,8,-1598,-751,-1598,-751,279696,-423,101992,16560,-559,295328,12607,178680,63170,70660
5669,1778515522221659955,1,282010,4294966545,8,-2141,-1164,-2141,-1164,282010,-1738,102228,15205,-751,296645,12481,189400,62490,80690
5670,1778515522226316304,1,284251,4294966132,8,-2088,-1015,-2088,-1015,284251,-2761,103813,16872,-1164,297978,12357,180880,63560,71690
5671,1778515522231315313,1,286283,4294966281,8,-2042,-819,-2042,-819,286283,-3972,105183,15450,-1015,299326,12425,178960,62770,68110
5672,1778515522236316306,1,287678,4294966477,8,-1910,-942,-1910,-942,287678,-5102,107426,16731,-819,301957,12380,178230,63280,69580
5673,1778515522241700216,1,288983,4294966354,8,-2325,-233,-2325,-233,288983,-6438,108595,15419,-942,303249,12467,176490,62060,68130
5674,1778515522246371957,1,290289,4294967063,8,-2360,279,-2360,279,290289,-7536,109470,16357,-233,303249,12467,178760,63440,69790
5675,1778515522251364310,1,292128,279,8,-2315,495,-2315,495,292128,-8814,109705,14773,279,304520,12618,179650,62550,70830
5676,1778515522256351447,1,294131,495,8,-2270,712,-2270,712,294131,-10010,110815,15756,495,305755,12660,179140,63200,69790
5677,1778515522261338967,1,295985,712,8,-2228,928,-2228,928,295985,-11315,110629,14164,712,306957,12742,177410,62980,67970
5678,1778515522266339577,1,297350,928,8,-2103,804,-2103,804,297350,-12528,110847,15139,928,309267,12862,180090,63850,72250
5679,1778515522271679902,1,298241,804,8,-2610,492,-2610,492,298241,-13893,109370,13771,804,310368,12912,176710,62070,68630
5680,1778515522276334299,1,299056,492,8,-2577,647,-2577,647,299056,-14921,107354,15380,492,311436,12958,177850,63200,67950
5681,1778515522281340860,1,300303,647,8,-2551,827,-2551,827,300303,-16051,104363,13995,647,312472,13059,175630,62110,66930
5682,1778515522286320861,1,301860,827,8,-2525,990,-2525,990,301860,-16997,102940,15356,827,313479,12953,181540,64060,70510
5683,1778515522291653090,1,303477,990,8,-2719,965,-2719,965,303477,-18060,101950,13914,990,315411,12985,177500,62600,68060
5684,1778515522296332095,1,304471,965,8,-2781,1445,-2781,1445,304471,-18871,102596,15197,965,315411,12985,193680,75470,76590
5685,1778515522301353376,1,305124,1445,8,-2761,1617,-2761,1617,305124,-19846,103190,13557,1445,316341,12960,179040,62710,70060
5686,1778515522306347041,1,305629,1617,8,-2743,1794,-2743,1794,305629,-20728,104604,14746,1617,317255,12933,179850,64240,70520
5687,1778515522311332418,1,306489,1794,8,-2642,1627,-2642,1627,306489,-21729,104432,13116,1794,319041,12935,177490,62470,69120
5688,1778515522316352292,1,307735,1627,8,-2628,1808,-2628,1808,307735,-22636,105193,14342,1627,319917,12680,177601,63290,69561
5689,1778515522321384581,1,309441,1808,8,-2918,1395,-2918,1395,309441,-23661,104934,12699,1808,320787,12695,176060,62250,66090
5690,1778515522326353318,1,310999,1395,8,-2914,1586,-2914,1586,310999,-24549,106254,14308,1395,321651,12726,178530,63620,69960
5691,1778515522331314950,1,312186,1586,8,-2818,1439,-2818,1439,312186,-25559,106340,12660,1586,323369,12407,176780,62060,67940
5692,1778515522336354952,1,312987,1439,8,-2820,1645,-2820,1645,312987,-26474,106987,14068,1439,324235,12288,177630,63660,69470
5693,1778515522341379913,1,314085,1645,8,-2983,1962,-2983,1962,314085,-27495,105206,12406,1645,325105,12247,178500,62300,69540
5694,1778515522346312298,1,315628,1962,8,-3070,2473,-3070,2473,315628,-28363,103579,13628,1962,325105,12247,182110,63740,73930
5695,1778515522351361739,1,317423,2473,8,-3073,2652,-3073,2652,317423,-29318,100924,11886,2473,325980,11934,178640,62840,70140
5696,1778515522356348556,1,318758,2652,8,-3078,2834,-3078,2834,318758,-30107,100155,13048,2652,326872,11886,179720,63620,69490
