idx,stamp_ns,compute_ok,status,iters,control_flags,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,ref_vx0_fp,ref_kappa0_fp,total_call_ns,kernel_ns,wait_ns
13408,1778515560916816743,1,1,50,0,20862,1851568,-19943,-3549,386972,19591,-29720,-1542,-1851569,433687,-6881,883253,765688,774259
13409,1778515560921953095,1,1,50,0,-22875,-1851569,-20203,-3460,388678,19993,-30454,-470,1851568,434191,-7007,881383,765399,772019
13410,1778515560926736066,1,1,50,0,-23857,-1851569,-20304,-3240,390177,20322,-31778,-1452,-1851569,435163,-6965,883674,765849,774569
13411,1778515560931853762,1,1,50,0,21881,-1851569,-20348,-3218,391186,20775,-32211,-523,-1851569,435633,-6887,881493,765759,773069
13412,1778515560936791968,1,1,50,0,-23910,-1851569,-20436,-3016,392105,21152,-33486,-1505,-1851569,436542,-6997,881013,765248,773209
13413,1778515560941944576,1,1,50,0,-23048,1851568,-20641,-2781,393322,21640,-34292,-643,-1851569,437411,-7004,887734,766659,775909
13414,1778515560946735995,1,1,50,0,-24147,-1851569,-20571,-3138,394613,22041,-35953,-1742,1851568,436981,-6974,882853,766219,773449
13415,1778515560951731578,1,1,50,0,-22842,-1851569,-20643,-2947,396096,22593,-36400,-437,-1851569,437832,-6962,881653,765408,772739
13416,1778515560956780185,1,1,50,0,-24132,-1851569,-20663,-2953,397372,23071,-37728,-1727,-1851569,438244,-7011,880633,764649,771979
13417,1778515560961743350,1,1,50,0,-22999,1851568,-20724,-2768,398381,23648,-38142,-594,-1851569,439043,-7067,894404,764769,774309
13418,1778515560966739637,1,1,50,0,-24565,1851568,-20734,-2778,399627,24130,-39651,-2160,1851568,439430,-7074,883683,766039,775359
13419,1778515560972077303,1,1,50,0,-23458,1851568,-20912,-2297,401215,24769,-39969,-1053,1851568,440184,-7125,882973,766279,773269
13420,1778515560976788434,1,1,50,0,-25285,1851568,-20970,-2111,402891,25220,-41343,-2880,1851568,440911,-7137,880783,765198,772379
13421,1778515560981867217,1,1,50,0,-24394,1851568,-20962,-2134,403707,25804,-41744,-1989,1851568,441266,-7202,884633,766969,775439
13422,1778515560986836495,1,1,50,0,-26050,1851568,-21006,-1965,404271,26267,-43256,-3645,1851568,441930,-7247,883174,765499,772549
13423,1778515560991882958,1,1,50,0,-25170,1851568,-21296,-1681,405191,26838,-43806,-2765,1851568,442237,-7319,881143,765479,771989
13424,1778515560996762346,1,1,50,0,-26791,-1851569,-21217,-1902,406095,27294,-45244,-4386,1851568,442237,-7319,880733,765448,772819
13425,1778515561001768297,1,1,50,0,19177,1851568,-21190,-1936,406926,27877,-45483,-3227,-1851569,442526,-7353,883953,766649,774419
13426,1778515561006783463,1,1,50,0,17826,1851568,-21210,-1779,407594,28369,-46578,-4578,1851568,443052,-7313,884834,765748,776599
13427,1778515561011804774,1,1,50,0,-25953,1851568,-21173,-1820,408009,28956,-46732,-3548,1851568,443289,-7429,882053,766289,773409
13428,1778515561016800100,1,1,50,0,-8628,1851568,-21184,-1661,408529,29443,-47797,-3806,1851568,443710,-7334,882194,765749,773219
13429,1778515561022212999,1,1,50,0,-26211,1851568,-21213,-1637,409523,30080,-47746,-3806,1851568,443710,-7334,885713,767359,777109
13430,1778515561026841761,1,1,50,0,17130,-1851569,-21227,-1468,410427,30525,-48071,-5274,1851568,444062,-7480,882474,766169,773429
